plate,ID,cellLine,conc,time,NumNuclei
10790,1_F02,DS3,0,0,471
10803,1_F02,DS3,0,24,754
10813,1_F02,DS3,0,48,1273
10816,1_F02,DS3,0,52,1859
10819,1_F02,DS3,0,56,2108
10822,1_F02,DS3,0,60,2308
10825,1_F02,DS3,0,64,2563
10828,1_F02,DS3,0,68,2886
10831,1_F02,DS3,0,72,3392
10834,1_F02,DS3,0,76,3873
10837,1_F02,DS3,0,80,4903
10840,1_F02,DS3,0,84,5621
10843,1_F02,DS3,0,88,5794
10846,1_F02,DS3,0,92,6711
10849,1_F02,DS3,0,96,7919
10852,1_F02,DS3,0,100,9200
10855,1_F02,DS3,0,104,10263
10858,1_F02,DS3,0,108,11738
10861,1_F02,DS3,0,112,13616
10790,1_F03,DS3,12,0,639
10803,1_F03,DS3,12,24,984
10813,1_F03,DS3,12,48,959
10816,1_F03,DS3,12,52,952
10819,1_F03,DS3,12,56,976
10822,1_F03,DS3,12,60,979
10825,1_F03,DS3,12,64,928
10828,1_F03,DS3,12,68,930
10831,1_F03,DS3,12,72,923
10834,1_F03,DS3,12,76,904
10837,1_F03,DS3,12,80,949
10840,1_F03,DS3,12,84,918
10843,1_F03,DS3,12,88,830
10846,1_F03,DS3,12,92,808
10849,1_F03,DS3,12,96,791
10852,1_F03,DS3,12,100,774
10855,1_F03,DS3,12,104,727
10858,1_F03,DS3,12,108,670
10861,1_F03,DS3,12,112,641
10790,1_F04,DS3,3,0,568
10803,1_F04,DS3,3,24,763
10813,1_F04,DS3,3,48,705
10816,1_F04,DS3,3,52,841
10819,1_F04,DS3,3,56,834
10822,1_F04,DS3,3,60,834
10825,1_F04,DS3,3,64,806
10828,1_F04,DS3,3,68,812
10831,1_F04,DS3,3,72,806
10834,1_F04,DS3,3,76,780
10837,1_F04,DS3,3,80,818
10840,1_F04,DS3,3,84,809
10843,1_F04,DS3,3,88,761
10846,1_F04,DS3,3,92,753
10849,1_F04,DS3,3,96,718
10852,1_F04,DS3,3,100,733
10855,1_F04,DS3,3,104,690
10858,1_F04,DS3,3,108,682
10861,1_F04,DS3,3,112,684
10790,1_F05,DS3,0.75,0,929
10803,1_F05,DS3,0.75,24,1657
10813,1_F05,DS3,0.75,48,1311
10816,1_F05,DS3,0.75,52,1480
10819,1_F05,DS3,0.75,56,1279
10822,1_F05,DS3,0.75,60,1419
10825,1_F05,DS3,0.75,64,1390
10828,1_F05,DS3,0.75,68,1418
10831,1_F05,DS3,0.75,72,1464
10834,1_F05,DS3,0.75,76,1431
10837,1_F05,DS3,0.75,80,1469
10840,1_F05,DS3,0.75,84,1489
10843,1_F05,DS3,0.75,88,1383
10846,1_F05,DS3,0.75,92,1374
10849,1_F05,DS3,0.75,96,1352
10852,1_F05,DS3,0.75,100,1372
10855,1_F05,DS3,0.75,104,1290
10858,1_F05,DS3,0.75,108,1296
10861,1_F05,DS3,0.75,112,1324
10790,1_F06,DS3,0.1875,0,955
10803,1_F06,DS3,0.1875,24,1271
10813,1_F06,DS3,0.1875,48,1162
10816,1_F06,DS3,0.1875,52,1277
10819,1_F06,DS3,0.1875,56,1147
10822,1_F06,DS3,0.1875,60,1310
10825,1_F06,DS3,0.1875,64,1313
10828,1_F06,DS3,0.1875,68,1308
10831,1_F06,DS3,0.1875,72,1339
10834,1_F06,DS3,0.1875,76,1320
10837,1_F06,DS3,0.1875,80,1372
10840,1_F06,DS3,0.1875,84,1360
10843,1_F06,DS3,0.1875,88,1280
10846,1_F06,DS3,0.1875,92,1267
10849,1_F06,DS3,0.1875,96,1263
10852,1_F06,DS3,0.1875,100,1241
10855,1_F06,DS3,0.1875,104,1213
10858,1_F06,DS3,0.1875,108,1188
10861,1_F06,DS3,0.1875,112,1219
10790,1_F07,DS3,0.0469,0,1059
10803,1_F07,DS3,0.0469,24,2176
10813,1_F07,DS3,0.0469,48,2337
10816,1_F07,DS3,0.0469,52,2379
10819,1_F07,DS3,0.0469,56,2135
