plate,ID,cellLine,conc,time,NumNuclei
10843,1_B06,DS1,0.1875,88,619
10846,1_B06,DS1,0.1875,92,628
10849,1_B06,DS1,0.1875,96,626
10852,1_B06,DS1,0.1875,100,616
10855,1_B06,DS1,0.1875,104,615
10858,1_B06,DS1,0.1875,108,593
10861,1_B06,DS1,0.1875,112,589
10790,1_B07,DS1,0.0469,0,275
10803,1_B07,DS1,0.0469,24,458
10813,1_B07,DS1,0.0469,48,610
10816,1_B07,DS1,0.0469,52,576
10819,1_B07,DS1,0.0469,56,652
10822,1_B07,DS1,0.0469,60,612
10825,1_B07,DS1,0.0469,64,617
10828,1_B07,DS1,0.0469,68,615
10831,1_B07,DS1,0.0469,72,606
10834,1_B07,DS1,0.0469,76,609
10837,1_B07,DS1,0.0469,80,601
10840,1_B07,DS1,0.0469,84,614
10843,1_B07,DS1,0.0469,88,612
10846,1_B07,DS1,0.0469,92,601
10849,1_B07,DS1,0.0469,96,606
10852,1_B07,DS1,0.0469,100,603
10855,1_B07,DS1,0.0469,104,612
10858,1_B07,DS1,0.0469,108,615
10861,1_B07,DS1,0.0469,112,577
10790,1_B08,DS1,0.0117,0,262
10803,1_B08,DS1,0.0117,24,473
10813,1_B08,DS1,0.0117,48,1247
10816,1_B08,DS1,0.0117,52,1256
10819,1_B08,DS1,0.0117,56,1690
10822,1_B08,DS1,0.0117,60,1572
10825,1_B08,DS1,0.0117,64,1779
10828,1_B08,DS1,0.0117,68,1855
10831,1_B08,DS1,0.0117,72,1861
10834,1_B08,DS1,0.0117,76,1970
10837,1_B08,DS1,0.0117,80,1955
10840,1_B08,DS1,0.0117,84,2226
10843,1_B08,DS1,0.0117,88,2503
10846,1_B08,DS1,0.0117,92,2695
10849,1_B08,DS1,0.0117,96,2847
10852,1_B08,DS1,0.0117,100,3013
10855,1_B08,DS1,0.0117,104,3397
10858,1_B08,DS1,0.0117,108,3690
10861,1_B08,DS1,0.0117,112,3898
10790,1_B09,DS1,0.0029,0,382
10803,1_B09,DS1,0.0029,24,698
10813,1_B09,DS1,0.0029,48,1674
10816,1_B09,DS1,0.0029,52,2205
10819,1_B09,DS1,0.0029,56,2792
10822,1_B09,DS1,0.0029,60,2906
10825,1_B09,DS1,0.0029,64,3268
10828,1_B09,DS1,0.0029,68,3481
10831,1_B09,DS1,0.0029,72,3729
10834,1_B09,DS1,0.0029,76,4169
10837,1_B09,DS1,0.0029,80,4375
10840,1_B09,DS1,0.0029,84,5054
10843,1_B09,DS1,0.0029,88,5610
10846,1_B09,DS1,0.0029,92,6127
10849,1_B09,DS1,0.0029,96,6665
10852,1_B09,DS1,0.0029,100,7342
10855,1_B09,DS1,0.0029,104,8356
10858,1_B09,DS1,0.0029,108,9183
10861,1_B09,DS1,0.0029,112,10082
10790,1_B10,DS1,7.00E-04,0,334
10803,1_B10,DS1,7.00E-04,24,861
10813,1_B10,DS1,7.00E-04,48,2235
10816,1_B10,DS1,7.00E-04,52,2537
10819,1_B10,DS1,7.00E-04,56,3310
10822,1_B10,DS1,7.00E-04,60,3310
10825,1_B10,DS1,7.00E-04,64,3780
10828,1_B10,DS1,7.00E-04,68,4008
10831,1_B10,DS1,7.00E-04,72,4325
10834,1_B10,DS1,7.00E-04,76,4790
10837,1_B10,DS1,7.00E-04,80,4871
10840,1_B10,DS1,7.00E-04,84,5645
10843,1_B10,DS1,7.00E-04,88,6311
10846,1_B10,DS1,7.00E-04,92,6907
10849,1_B10,DS1,7.00E-04,96,7573
10852,1_B10,DS1,7.00E-04,100,8291
10855,1_B10,DS1,7.00E-04,104,9515
10858,1_B10,DS1,7.00E-04,108,10480
10861,1_B10,DS1,7.00E-04,112,11255
10790,1_B11,DS1,0,0,275
10803,1_B11,DS1,0,24,789
10813,1_B11,DS1,0,48,2140
10816,1_B11,DS1,0,52,2709
10819,1_B11,DS1,0,56,3461
10822,1_B11,DS1,0,60,3476
10825,1_B11,DS1,0,64,3956
10828,1_B11,DS1,0,68,4161
10831,1_B11,DS1,0,72,4527
10834,1_B11,DS1,0,76,5101
10837,1_B11,DS1,0,80,4973
10840,1_B11,DS1,0,84,5807
10843,1_B11,DS1,0,88,6416
10846,1_B11,DS1,0,92,6920
10849,1_B11,DS1,0,96,7499
10852,1_B11,DS1,0,100,8201
10855,1_B11,DS1,0,104,9275
10858,1_B11,DS1,0,108,10168
10861,1_B11,DS1,0,112,11020
10790,1_C02,DS1,0,0,516
10803,1_C02,DS1,0,24,711
10813,1_C02,DS1,0,48,1276
10816,1_C02,DS1,0,52,1642
10819,1_C02,DS1,0,56,1872
10822,1_C02,DS1,0,60,2227
10825,1_C02,DS1,0,64,2424
10828,1_C02,DS1,0,68,2659
10831,1_C02,DS1,0,72,2866
10834,1_C02,DS1,0,76,3176
10837,1_C02,DS1,0,80,3837
10840,1_C02,DS1,0,84,4534
10843,1_C02,DS1,0,88,4694
10846,1_C02,DS1,0,92,5208
10849,1_C02,DS1,0,96,5882
10852,1_C02,DS1,0,100,6659
10855,1_C02,DS1,0,104,7469
10858,1_C02,DS1,0,108,8527
10861,1_C02,DS1,0,112,9605
10790,1_C04,DS1,3,0,632
10803,1_C04,DS1,3,24,877
10813,1_C04,DS1,3,48,847
10816,1_C04,DS1,3,52,848
10819,1_C04,DS1,3,56,857
10822,1_C04,DS1,3,60,869
10825,1_C04,DS1,3,64,853
10828,1_C04,DS1,3,68,871
10831,1_C04,DS1,3,72,867
10834,1_C04,DS1,3,76,858
10837,1_C04,DS1,3,80,889
10840,1_C04,DS1,3,84,888
10843,1_C04,DS1,3,88,857
10846,1_C04,DS1,3,92,840
10849,1_C04,DS1,3,96,830
10852,1_C04,DS1,3,100,829
10855,1_C04,DS1,3,104,797
10858,1_C04,DS1,3,108,794
10861,1_C04,DS1,3,112,813
10790,1_C05,DS1,0.75,0,633
10803,1_C05,DS1,0.75,24,1211
10813,1_C05,DS1,0.75,48,1224
10816,1_C05,DS1,0.75,52,1118
10819,1_C05,DS1,0.75,56,1156
10822,1_C05,DS1,0.75,60,1150
10825,1_C05,DS1,0.75,64,1148
10828,1_C05,DS1,0.75,68,1157
10831,1_C05,DS1,0.75,72,1150
10834,1_C05,DS1,0.75,76,1147
10837,1_C05,DS1,0.75,80,1080
10840,1_C05,DS1,0.75,84,1096
10843,1_C05,DS1,0.75,88,1129
10846,1_C05,DS1,0.75,92,1128
10849,1_C05,DS1,0.75,96,1121
10852,1_C05,DS1,0.75,100,1113
10855,1_C05,DS1,0.75,104,1122
10858,1_C05,DS1,0.75,108,1106
10861,1_C05,DS1,0.75,112,1104
10790,1_C06,DS1,0.1875,0,522
10803,1_C06,DS1,0.1875,24,815
10813,1_C06,DS1,0.1875,48,811
10816,1_C06,DS1,0.1875,52,771
10819,1_C06,DS1,0.1875,56,769
10822,1_C06,DS1,0.1875,60,784
10825,1_C06,DS1,0.1875,64,778
10828,1_C06,DS1,0.1875,68,776
10831,1_C06,DS1,0.1875,72,768
10834,1_C06,DS1,0.1875,76,769
10837,1_C06,DS1,0.1875,80,800
10840,1_C06,DS1,0.1875,84,776
10843,1_C06,DS1,0.1875,88,763
10846,1_C06,DS1,0.1875,92,756
10849,1_C06,DS1,0.1875,96,753
10852,1_C06,DS1,0.1875,100,745
10855,1_C06,DS1,0.1875,104,750
10858,1_C06,DS1,0.1875,108,731
10861,1_C06,DS1,0.1875,112,725
10790,1_C07,DS1,0.0469,0,650
10803,1_C07,DS1,0.0469,24,1150
10813,1_C07,DS1,0.0469,48,1243
10816,1_C07,DS1,0.0469,52,1164
10819,1_C07,DS1,0.0469,56,1186
10822,1_C07,DS1,0.0469,60,1193
10825,1_C07,DS1,0.0469,64,1206
10828,1_C07,DS1,0.0469,68,1199
10831,1_C07,DS1,0.0469,72,1199
10834,1_C07,DS1,0.0469,76,1201
10837,1_C07,DS1,0.0469,80,1176
10840,1_C07,DS1,0.0469,84,1179
10843,1_C07,DS1,0.0469,88,1192
10846,1_C07,DS1,0.0469,92,1192
10849,1_C07,DS1,0.0469,96,1187
10852,1_C07,DS1,0.0469,100,1198
10855,1_C07,DS1,0.0469,104,1188
10858,1_C07,DS1,0.0469,108,1198
10861,1_C07,DS1,0.0469,112,1195
10790,1_C08,DS1,0.0117,0,798
10803,1_C08,DS1,0.0117,24,1564
10813,1_C08,DS1,0.0117,48,2829
10816,1_C08,DS1,0.0117,52,2788
10819,1_C08,DS1,0.0117,56,3238
10822,1_C08,DS1,0.0117,60,3360
10825,1_C08,DS1,0.0117,64,3766
10828,1_C08,DS1,0.0117,68,3916
10831,1_C08,DS1,0.0117,72,4033
10834,1_C08,DS1,0.0117,76,4235
10837,1_C08,DS1,0.0117,80,4253
10840,1_C08,DS1,0.0117,84,4871
10843,1_C08,DS1,0.0117,88,5427
10846,1_C08,DS1,0.0117,92,5805
10849,1_C08,DS1,0.0117,96,6099
10852,1_C08,DS1,0.0117,100,6543
10855,1_C08,DS1,0.0117,104,7072
10858,1_C08,DS1,0.0117,108,7748
10861,1_C08,DS1,0.0117,112,8285
10790,1_C09,DS1,0.0029,0,637
10803,1_C09,DS1,0.0029,24,1471
10813,1_C09,DS1,0.0029,48,2990
10816,1_C09,DS1,0.0029,52,3252
10819,1_C09,DS1,0.0029,56,4112
10822,1_C09,DS1,0.0029,60,4306
10825,1_C09,DS1,0.0029,64,4899
10828,1_C09,DS1,0.0029,68,5245
10831,1_C09,DS1,0.0029,72,5658
10834,1_C09,DS1,0.0029,76,6340
10837,1_C09,DS1,0.0029,80,6649
10840,1_C09,DS1,0.0029,84,7671
10843,1_C09,DS1,0.0029,88,8500
10846,1_C09,DS1,0.0029,92,9091
10849,1_C09,DS1,0.0029,96,9822
10852,1_C09,DS1,0.0029,100,10846
10855,1_C09,DS1,0.0029,104,12206
10858,1_C09,DS1,0.0029,108,13415
10861,1_C09,DS1,0.0029,112,14375
10790,1_C10,DS1,7.00E-04,0,660
10803,1_C10,DS1,7.00E-04,24,1304
10813,1_C10,DS1,7.00E-04,48,2906
10816,1_C10,DS1,7.00E-04,52,3093
10819,1_C10,DS1,7.00E-04,56,3898
10822,1_C10,DS1,7.00E-04,60,4188
10825,1_C10,DS1,7.00E-04,64,4692
10828,1_C10,DS1,7.00E-04,68,5082
10831,1_C10,DS1,7.00E-04,72,5589
10834,1_C10,DS1,7.00E-04,76,6268
10837,1_C10,DS1,7.00E-04,80,6661
10840,1_C10,DS1,7.00E-04,84,7616
10843,1_C10,DS1,7.00E-04,88,8465
10846,1_C10,DS1,7.00E-04,92,9229
10849,1_C10,DS1,7.00E-04,96,10068
10852,1_C10,DS1,7.00E-04,100,11133
10855,1_C10,DS1,7.00E-04,104,12466
10858,1_C10,DS1,7.00E-04,108,13748
10861,1_C10,DS1,7.00E-04,112,14804
10790,1_C11,DS1,0,0,578
10803,1_C11,DS1,0,24,1511
10813,1_C11,DS1,0,48,3222
10816,1_C11,DS1,0,52,3596
10819,1_C11,DS1,0,56,4546
10822,1_C11,DS1,0,60,4687
10825,1_C11,DS1,0,64,5416
10828,1_C11,DS1,0,68,5828
10831,1_C11,DS1,0,72,6377
10834,1_C11,DS1,0,76,7114
10837,1_C11,DS1,0,80,7143
10840,1_C11,DS1,0,84,8328
10843,1_C11,DS1,0,88,9104
10846,1_C11,DS1,0,92,9705
10849,1_C11,DS1,0,96,10682
10852,1_C11,DS1,0,100,11663
10855,1_C11,DS1,0,104,12832
10858,1_C11,DS1,0,108,14041
10861,1_C11,DS1,0,112,14785
10790,1_D02,DS2,0,0,693
10803,1_D02,DS2,0,24,1146
10813,1_D02,DS2,0,48,2394
10816,1_D02,DS2,0,52,3972
10819,1_D02,DS2,0,56,4369
10822,1_D02,DS2,0,60,4763
10825,1_D02,DS2,0,64,5408
10828,1_D02,DS2,0,68,6242
10831,1_D02,DS2,0,72,7163
10834,1_D02,DS2,0,76,7851
10837,1_D02,DS2,0,80,9138
10840,1_D02,DS2,0,84,10227
10843,1_D02,DS2,0,88,10900
10846,1_D02,DS2,0,92,12283
10849,1_D02,DS2,0,96,13917
10852,1_D02,DS2,0,100,15386
10855,1_D02,DS2,0,104,16619
10858,1_D02,DS2,0,108,18884
10861,1_D02,DS2,0,112,21434
10790,1_D04,DS2,3,0,683
10803,1_D04,DS2,3,24,975
10813,1_D04,DS2,3,48,978
10816,1_D04,DS2,3,52,1098
10819,1_D04,DS2,3,56,1088
10822,1_D04,DS2,3,60,1103
10825,1_D04,DS2,3,64,1058
10828,1_D04,DS2,3,68,1066
10831,1_D04,DS2,3,72,1069
10834,1_D04,DS2,3,76,1066
10837,1_D04,DS2,3,80,1129
10840,1_D04,DS2,3,84,1094
10843,1_D04,DS2,3,88,1025
10846,1_D04,DS2,3,92,1014
10849,1_D04,DS2,3,96,1016
10852,1_D04,DS2,3,100,994
10855,1_D04,DS2,3,104,954
10858,1_D04,DS2,3,108,948
10861,1_D04,DS2,3,112,959
10790,1_D05,DS2,0.75,0,883
10803,1_D05,DS2,0.75,24,1984
10813,1_D05,DS2,0.75,48,2142
10816,1_D05,DS2,0.75,52,2046
10819,1_D05,DS2,0.75,56,2049
10822,1_D05,DS2,0.75,60,2026
10825,1_D05,DS2,0.75,64,2042
10828,1_D05,DS2,0.75,68,2024
10831,1_D05,DS2,0.75,72,2040
10834,1_D05,DS2,0.75,76,2018
10837,1_D05,DS2,0.75,80,1895
10840,1_D05,DS2,0.75,84,1934
10843,1_D05,DS2,0.75,88,1975
10846,1_D05,DS2,0.75,92,1946
10849,1_D05,DS2,0.75,96,1910
10852,1_D05,DS2,0.75,100,1903
10855,1_D05,DS2,0.75,104,1918
10858,1_D05,DS2,0.75,108,1917
10861,1_D05,DS2,0.75,112,1923
10790,1_D06,DS2,0.1875,0,1017
10803,1_D06,DS2,0.1875,24,1599
10813,1_D06,DS2,0.1875,48,1641
10816,1_D06,DS2,0.1875,52,1675
10819,1_D06,DS2,0.1875,56,1593
10822,1_D06,DS2,0.1875,60,1673
10825,1_D06,DS2,0.1875,64,1633
10828,1_D06,DS2,0.1875,68,1633
10831,1_D06,DS2,0.1875,72,1642
10834,1_D06,DS2,0.1875,76,1637
10837,1_D06,DS2,0.1875,80,1723
10840,1_D06,DS2,0.1875,84,1690
10843,1_D06,DS2,0.1875,88,1610
10846,1_D06,DS2,0.1875,92,1589
10849,1_D06,DS2,0.1875,96,1598
10852,1_D06,DS2,0.1875,100,1569
10855,1_D06,DS2,0.1875,104,1518
10858,1_D06,DS2,0.1875,108,1528
10861,1_D06,DS2,0.1875,112,1524
10790,1_D07,DS2,0.0469,0,718
10803,1_D07,DS2,0.0469,24,1156
10813,1_D07,DS2,0.0469,48,1676
10816,1_D07,DS2,0.0469,52,1675
10819,1_D07,DS2,0.0469,56,1784
10822,1_D07,DS2,0.0469,60,1716
10825,1_D07,DS2,0.0469,64,1726
10828,1_D07,DS2,0.0469,68,1736
10831,1_D07,DS2,0.0469,72,1720
10834,1_D07,DS2,0.0469,76,1717
10837,1_D07,DS2,0.0469,80,1751
10840,1_D07,DS2,0.0469,84,1704
10843,1_D07,DS2,0.0469,88,1706
10846,1_D07,DS2,0.0469,92,1698
10849,1_D07,DS2,0.0469,96,1668
10852,1_D07,DS2,0.0469,100,1669
10855,1_D07,DS2,0.0469,104,1672
10858,1_D07,DS2,0.0469,108,1637
10861,1_D07,DS2,0.0469,112,1608
10790,1_D08,DS2,0.0117,0,947
10803,1_D08,DS2,0.0117,24,2581
10813,1_D08,DS2,0.0117,48,5784
10816,1_D08,DS2,0.0117,52,6136
10819,1_D08,DS2,0.0117,56,6999
10822,1_D08,DS2,0.0117,60,7116
10825,1_D08,DS2,0.0117,64,7873
10828,1_D08,DS2,0.0117,68,8379
10831,1_D08,DS2,0.0117,72,8939
10834,1_D08,DS2,0.0117,76,9457
10837,1_D08,DS2,0.0117,80,9341
10840,1_D08,DS2,0.0117,84,10410
10843,1_D08,DS2,0.0117,88,11331
10846,1_D08,DS2,0.0117,92,11957
10849,1_D08,DS2,0.0117,96,12617
10852,1_D08,DS2,0.0117,100,13370
10855,1_D08,DS2,0.0117,104,14238
10858,1_D08,DS2,0.0117,108,15088
10861,1_D08,DS2,0.0117,112,15689
10790,1_D09,DS2,0.0029,0,1181
10803,1_D09,DS2,0.0029,24,2740
10813,1_D09,DS2,0.0029,48,6110
10816,1_D09,DS2,0.0029,52,7241
10819,1_D09,DS2,0.0029,56,7930
10822,1_D09,DS2,0.0029,60,8633
10825,1_D09,DS2,0.0029,64,9651
10828,1_D09,DS2,0.0029,68,10875
10831,1_D09,DS2,0.0029,72,12425
10834,1_D09,DS2,0.0029,76,13676
10837,1_D09,DS2,0.0029,80,14264
10840,1_D09,DS2,0.0029,84,15771
10843,1_D09,DS2,0.0029,88,17182
10846,1_D09,DS2,0.0029,92,18669
10849,1_D09,DS2,0.0029,96,20561
10852,1_D09,DS2,0.0029,100,22181
10855,1_D09,DS2,0.0029,104,23672
10858,1_D09,DS2,0.0029,108,25622
10861,1_D09,DS2,0.0029,112,27343
10790,1_D10,DS2,7.00E-04,0,880
10803,1_D10,DS2,7.00E-04,24,2172
10813,1_D10,DS2,7.00E-04,48,4775
10816,1_D10,DS2,7.00E-04,52,6426
10819,1_D10,DS2,7.00E-04,56,7009
10822,1_D10,DS2,7.00E-04,60,7486
10825,1_D10,DS2,7.00E-04,64,8434
10828,1_D10,DS2,7.00E-04,68,9467
10831,1_D10,DS2,7.00E-04,72,10742
10834,1_D10,DS2,7.00E-04,76,11808
10837,1_D10,DS2,7.00E-04,80,12251
10840,1_D10,DS2,7.00E-04,84,13488
10843,1_D10,DS2,7.00E-04,88,14994
10846,1_D10,DS2,7.00E-04,92,16656
10849,1_D10,DS2,7.00E-04,96,18423
10852,1_D10,DS2,7.00E-04,100,19971
10855,1_D10,DS2,7.00E-04,104,21568
10858,1_D10,DS2,7.00E-04,108,23335
10861,1_D10,DS2,7.00E-04,112,25168
10790,1_D11,DS2,0,0,558
10803,1_D11,DS2,0,24,1952
10813,1_D11,DS2,0,48,5006
10816,1_D11,DS2,0,52,6806
10819,1_D11,DS2,0,56,7701
10822,1_D11,DS2,0,60,8044
10825,1_D11,DS2,0,64,9244
10828,1_D11,DS2,0,68,10241
10831,1_D11,DS2,0,72,11416
10834,1_D11,DS2,0,76,12346
10837,1_D11,DS2,0,80,12626
10840,1_D11,DS2,0,84,14129
10843,1_D11,DS2,0,88,15761
10846,1_D11,DS2,0,92,17538
10849,1_D11,DS2,0,96,19162
10852,1_D11,DS2,0,100,20641
10855,1_D11,DS2,0,104,22521
10858,1_D11,DS2,0,108,24556
10861,1_D11,DS2,0,112,26805
10790,1_E02,DS2,0,0,660
10803,1_E02,DS2,0,24,1215
10813,1_E02,DS2,0,48,3041
10816,1_E02,DS2,0,52,4149
10819,1_E02,DS2,0,56,4522
10822,1_E02,DS2,0,60,5066
10825,1_E02,DS2,0,64,5767
10828,1_E02,DS2,0,68,6675
10831,1_E02,DS2,0,72,7541
10834,1_E02,DS2,0,76,8305
10837,1_E02,DS2,0,80,9411
10840,1_E02,DS2,0,84,10607
10843,1_E02,DS2,0,88,11600
10846,1_E02,DS2,0,92,13303
10849,1_E02,DS2,0,96,15015
10852,1_E02,DS2,0,100,16676
10855,1_E02,DS2,0,104,18630
10858,1_E02,DS2,0,108,21048
10861,1_E02,DS2,0,112,23998
10790,1_E04,DS2,3,0,899
10803,1_E04,DS2,3,24,1131
10813,1_E04,DS2,3,48,1020
10816,1_E04,DS2,3,52,1146
10819,1_E04,DS2,3,56,1128
10822,1_E04,DS2,3,60,1158
10825,1_E04,DS2,3,64,1089
10828,1_E04,DS2,3,68,1102
10831,1_E04,DS2,3,72,1115
10834,1_E04,DS2,3,76,1119
10837,1_E04,DS2,3,80,1219
10840,1_E04,DS2,3,84,1195
10843,1_E04,DS2,3,88,1077
10846,1_E04,DS2,3,92,1058
10849,1_E04,DS2,3,96,1062
10852,1_E04,DS2,3,100,1051
10855,1_E04,DS2,3,104,971
10858,1_E04,DS2,3,108,972
10861,1_E04,DS2,3,112,984
10790,1_E05,DS2,0.75,0,1524
10803,1_E05,DS2,0.75,24,3156
10813,1_E05,DS2,0.75,48,2822
10816,1_E05,DS2,0.75,52,2952
10819,1_E05,DS2,0.75,56,2659
10822,1_E05,DS2,0.75,60,2881
10825,1_E05,DS2,0.75,64,2812
10828,1_E05,DS2,0.75,68,2816
10831,1_E05,DS2,0.75,72,2945
10834,1_E05,DS2,0.75,76,2909
10837,1_E05,DS2,0.75,80,2938
10840,1_E05,DS2,0.75,84,2939
10843,1_E05,DS2,0.75,88,2833
10846,1_E05,DS2,0.75,92,2785
10849,1_E05,DS2,0.75,96,2764
10852,1_E05,DS2,0.75,100,2726
10855,1_E05,DS2,0.75,104,2603
10858,1_E05,DS2,0.75,108,2596
10861,1_E05,DS2,0.75,112,2715
10790,1_E06,DS2,0.1875,0,1334
10803,1_E06,DS2,0.1875,24,2603
10813,1_E06,DS2,0.1875,48,2725
10816,1_E06,DS2,0.1875,52,2751
10819,1_E06,DS2,0.1875,56,2645
10822,1_E06,DS2,0.1875,60,2760
10825,1_E06,DS2,0.1875,64,2760
10828,1_E06,DS2,0.1875,68,2758
10831,1_E06,DS2,0.1875,72,2784
10834,1_E06,DS2,0.1875,76,2771
10837,1_E06,DS2,0.1875,80,2727
10840,1_E06,DS2,0.1875,84,2740
10843,1_E06,DS2,0.1875,88,2715
10846,1_E06,DS2,0.1875,92,2680
10849,1_E06,DS2,0.1875,96,2652
10852,1_E06,DS2,0.1875,100,2630
10855,1_E06,DS2,0.1875,104,2560
10858,1_E06,DS2,0.1875,108,2569
10861,1_E06,DS2,0.1875,112,2580
10790,1_E07,DS2,0.0469,0,1222
10803,1_E07,DS2,0.0469,24,2133
10813,1_E07,DS2,0.0469,48,2046
10816,1_E07,DS2,0.0469,52,2231
10819,1_E07,DS2,0.0469,56,1974
10822,1_E07,DS2,0.0469,60,2225
10825,1_E07,DS2,0.0469,64,2167
10828,1_E07,DS2,0.0469,68,2188
10831,1_E07,DS2,0.0469,72,2283
10834,1_E07,DS2,0.0469,76,2259
10837,1_E07,DS2,0.0469,80,2325
10840,1_E07,DS2,0.0469,84,2322
10843,1_E07,DS2,0.0469,88,2239
10846,1_E07,DS2,0.0469,92,2207
10849,1_E07,DS2,0.0469,96,2199
10852,1_E07,DS2,0.0469,100,2185
10855,1_E07,DS2,0.0469,104,2061
10858,1_E07,DS2,0.0469,108,2088
10861,1_E07,DS2,0.0469,112,2125
10790,1_E08,DS2,0.0117,0,935
10803,1_E08,DS2,0.0117,24,2876
10813,1_E08,DS2,0.0117,48,6216
10816,1_E08,DS2,0.0117,52,6516
10819,1_E08,DS2,0.0117,56,7329
10822,1_E08,DS2,0.0117,60,7501
10825,1_E08,DS2,0.0117,64,8251
10828,1_E08,DS2,0.0117,68,8696
10831,1_E08,DS2,0.0117,72,9240
10834,1_E08,DS2,0.0117,76,9774
10837,1_E08,DS2,0.0117,80,9560
10840,1_E08,DS2,0.0117,84,10736
10843,1_E08,DS2,0.0117,88,11422
10846,1_E08,DS2,0.0117,92,11989
10849,1_E08,DS2,0.0117,96,12550
10852,1_E08,DS2,0.0117,100,13274
10855,1_E08,DS2,0.0117,104,14110
10858,1_E08,DS2,0.0117,108,14863
10861,1_E08,DS2,0.0117,112,15429
10790,1_E09,DS2,0.0029,0,618
10803,1_E09,DS2,0.0029,24,1545
10813,1_E09,DS2,0.0029,48,4471
10816,1_E09,DS2,0.0029,52,5650
10819,1_E09,DS2,0.0029,56,6484
10822,1_E09,DS2,0.0029,60,6623
10825,1_E09,DS2,0.0029,64,6898
10828,1_E09,DS2,0.0029,68,8536
10831,1_E09,DS2,0.0029,72,9669
10834,1_E09,DS2,0.0029,76,10602
10837,1_E09,DS2,0.0029,80,11013
10840,1_E09,DS2,0.0029,84,12311
10843,1_E09,DS2,0.0029,88,13784
10846,1_E09,DS2,0.0029,92,15162
10849,1_E09,DS2,0.0029,96,16769
10852,1_E09,DS2,0.0029,100,18418
10855,1_E09,DS2,0.0029,104,20276
10858,1_E09,DS2,0.0029,108,22168
10861,1_E09,DS2,0.0029,112,23980
10790,1_E10,DS2,7.00E-04,0,688
10803,1_E10,DS2,7.00E-04,24,1708
10813,1_E10,DS2,7.00E-04,48,4559
10816,1_E10,DS2,7.00E-04,52,5891
10819,1_E10,DS2,7.00E-04,56,6495
10822,1_E10,DS2,7.00E-04,60,6884
10825,1_E10,DS2,7.00E-04,64,7910
10828,1_E10,DS2,7.00E-04,68,8885
10831,1_E10,DS2,7.00E-04,72,10016
10834,1_E10,DS2,7.00E-04,76,11052
10837,1_E10,DS2,7.00E-04,80,11523
10840,1_E10,DS2,7.00E-04,84,12803
10843,1_E10,DS2,7.00E-04,88,14251
10846,1_E10,DS2,7.00E-04,92,15879
10849,1_E10,DS2,7.00E-04,96,17678
10852,1_E10,DS2,7.00E-04,100,19341
10855,1_E10,DS2,7.00E-04,104,21039
10858,1_E10,DS2,7.00E-04,108,23058
10861,1_E10,DS2,7.00E-04,112,25407
10790,1_E11,DS2,0,0,1057
