plate,ID,cellLine,conc,time,NumNuclei
10790,1_B02,DS1,0,0,338
10803,1_B02,DS1,0,24,543
10813,1_B02,DS1,0,48,994
10816,1_B02,DS1,0,52,1217
10819,1_B02,DS1,0,56,1394
10822,1_B02,DS1,0,60,1651
10825,1_B02,DS1,0,64,1836
10828,1_B02,DS1,0,68,1985
10831,1_B02,DS1,0,72,2201
10834,1_B02,DS1,0,76,2477
10837,1_B02,DS1,0,80,2818
10840,1_B02,DS1,0,84,3297
10843,1_B02,DS1,0,88,3549
10846,1_B02,DS1,0,92,3931
10849,1_B02,DS1,0,96,4396
10852,1_B02,DS1,0,100,4960
10855,1_B02,DS1,0,104,5571
10858,1_B02,DS1,0,108,6229
10861,1_B02,DS1,0,112,6995
10790,1_B04,DS1,3,0,309
10803,1_B04,DS1,3,24,568
10813,1_B04,DS1,3,48,580
10816,1_B04,DS1,3,52,530
10819,1_B04,DS1,3,56,534
10822,1_B04,DS1,3,60,548
10825,1_B04,DS1,3,64,550
10828,1_B04,DS1,3,68,548
10831,1_B04,DS1,3,72,543
10834,1_B04,DS1,3,76,546
10837,1_B04,DS1,3,80,529
10840,1_B04,DS1,3,84,539
10843,1_B04,DS1,3,88,537
10846,1_B04,DS1,3,92,541
10849,1_B04,DS1,3,96,549
10852,1_B04,DS1,3,100,538
10855,1_B04,DS1,3,104,527
10858,1_B04,DS1,3,108,524
10861,1_B04,DS1,3,112,514
10790,1_B05,DS1,0.75,0,333
10803,1_B05,DS1,0.75,24,652
10813,1_B05,DS1,0.75,48,719
10816,1_B05,DS1,0.75,52,658
10819,1_B05,DS1,0.75,56,696
10822,1_B05,DS1,0.75,60,697
10825,1_B05,DS1,0.75,64,688
10828,1_B05,DS1,0.75,68,675
10831,1_B05,DS1,0.75,72,674
10834,1_B05,DS1,0.75,76,671
10837,1_B05,DS1,0.75,80,628
10840,1_B05,DS1,0.75,84,635
10843,1_B05,DS1,0.75,88,646
10846,1_B05,DS1,0.75,92,640
10849,1_B05,DS1,0.75,96,627
10852,1_B05,DS1,0.75,100,635
10855,1_B05,DS1,0.75,104,639
10858,1_B05,DS1,0.75,108,624
10861,1_B05,DS1,0.75,112,609
10790,1_B06,DS1,0.1875,0,372
10803,1_B06,DS1,0.1875,24,641
10813,1_B06,DS1,0.1875,48,666
10816,1_B06,DS1,0.1875,52,609
10819,1_B06,DS1,0.1875,56,638
10822,1_B06,DS1,0.1875,60,620
10825,1_B06,DS1,0.1875,64,620
10828,1_B06,DS1,0.1875,68,622
10831,1_B06,DS1,0.1875,72,620
10834,1_B06,DS1,0.1875,76,622
10837,1_B06,DS1,0.1875,80,629
10840,1_B06,DS1,0.1875,84,632
