"","CCLE.Cell.Line.Name","Primary.Cell.Line.Name","Compound","Target","Doses..uM.","Activity.Data..median.","Activity.SD","Num.Data","FitType","EC50..uM.","IC50..uM.","Amax","ActArea"
"9216","A2058_SKIN","A2058","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-8.6,-5.7,.29,2.38,-.85,-18,-23,-29","4.57,5.34,6.42,3.02,.93,1.63,1.07,3.33",8,"Sigmoid",0.698621452,8,-25.57912827,0.7129
"9219","A375_SKIN","A-375","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-11,-3.0,-3.5,-14,-51,-71,-78,-82","1.50,.79,.19,2.56,.41,.078,.057,.57",8,"Sigmoid",0.202794954,0.258287698,-79.39503479,2.9645
"9240","C32_SKIN","C32","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-2.5,8.28,8.34,-.45,-18,-39,-42,-74","6.72,6.12,1.52,.0044,9.95,6.69,6.06,3.79",8,"Sigmoid",1.607520461,2.206977606,-70.74720764,1.2483
"9254","CHL1_SKIN","CHL-1","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-2.0,.62,-.61,-1.8,-.25,3.17,.63,-40","4.41,10.2,1.75,8.35,1.92,7.35,.49,6.57",8,"Sigmoid",6.274335384,8,-39.40667343,0.3171
"9263","COLO679_SKIN","COLO-679","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-8.4,-5.9,2.43,-14,-21,-63,-74,-82","2.46,13.9,.25,8.67,4.37,2.21,2.82,1.00",8,"Sigmoid",0.449920207,0.554165304,-79.57104492,2.2166
"9265","COLO741_SKIN","COLO 741","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","12.5,14.3,-1.7,-12,22.9,-26,-40,-68","5.33,13.6,4.18,15.4,3.04,13.6,10.2,1.38",8,"Sigmoid",8.193477834,4.03970623,-67.99868774,1.3751
"9294","G361_SKIN","G-361","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8",".28,17.5,-7.5,7.43,-12,-37,-66,-79","6.92,6.79,10.0,14.4,15.7,5.60,1.06,.20",8,"Sigmoid",0.924262345,1.286707997,-79.34484863,1.8445
"9339","HMCB_SKIN","HMCB","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-14,-9.6,-11,-1.3,-5.3,.18,-16,-43","8.01,11.5,5.12,2.23,5.00,1.51,1.62,5.36",8,"Sigmoid",3.051427126,8,-42.98620224,0.4418
"9344","HS294T_SKIN","Hs 294T","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-6.1,2.38,-7.3,-3.6,4.48,-2.4,-24,-39",".26,3.07,3.09,4.60,2.42,1.38,8.13,4.33",8,"Sigmoid",2.328400135,8,-38.53512955,0.6301
"9347","HS695T_SKIN","Hs 695T","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-9.9,-11,-3.9,4.06,-.84,-6.3,-25,-51","11.8,1.64,8.55,4.73,.030,9.08,4.45,.014",8,"Sigmoid",2.851969004,7.264561176,-50.83710861,0.752
"9353","HS852T_SKIN","Hs 852.T","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-8.7,-4.0,.89,5.67,-2.4,9.71,9.65,1.41","15.7,8.59,2.85,5.00,8.95,15.4,7.16,6.03",8,"Constant",NA,8,2.065104485,0.1203
