"","CCLE.Cell.Line.Name","Primary.Cell.Line.Name","Compound","Target","Doses..uM.","Activity.Data..median.","Activity.SD","Num.Data","FitType","EC50..uM.","IC50..uM.","Amax","ActArea"
"9354","HS895T_SKIN","Hs 895.T","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-1.9,-13,-17,-13,4.91,4.46,7.49,-69","15.3,7.72,13.6,6.71,40.6,2.03,19.6,1.94",8,"Sigmoid",8.065903117,7.153817177,-68.44522095,1.198
"9355","HS936T_SKIN","Hs 936.T","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-11,-4.1,-1.4,-.61,-1.1,8.66,-6.2,-48","4.20,.34,4.16,3.58,14.2,6.43,11.2,15.6",8,"Sigmoid",3.985270739,8,-47.41249084,0.5499
"9356","HS939T_SKIN","Hs 939.T","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","3.01,10.2,2.46,1.17,-2.4,-29,-52,-61","11.1,15.9,5.23,15.9,9.47,5.79,.37,.067",8,"Sigmoid",0.847466707,2.102822304,-60.82820511,1.2778
"9357","HS944T_SKIN","Hs 944.T","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-1.4,-1.9,1.08,-4.6,10.8,8.12,-18,-51","7.87,6.25,13.3,3.10,5.43,11.9,9.54,1.16",8,"Sigmoid",2.805363655,5.65844059,-51.26690674,0.7113
"9363","HT144_SKIN","HT-144","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-4.5,2.36,-13,-13,-29,-37,-55,-72","8.98,1.92,9.89,6.97,.39,12.7,2.91,.76",8,"Sigmoid",0.829790115,1.336324811,-71.07971191,2.267
"9371","IGR37_SKIN","IGR-37","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-8.3,5.94,-2.6,-16,-24,-44,-66,-64","8.12,4.45,3.31,7.71,5.53,13.6,.78,7.09",8,"Sigmoid",0.401444614,0.904429674,-67.25234222,2.2723
"9372","IGR39_SKIN","IGR-39","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-5.3,-3.4,-2.4,.87,15.1,2.40,-13,-30","22.4,6.08,19.7,1.16,3.84,2.84,1.45,16.0",8,"Sigmoid",2.593881369,8,-29.76954079,0.187
"9375","IPC298_SKIN","IPC-298","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8",".049,10.3,9.06,5.98,-3.9,-11,-15,-49","2.38,1.59,2.10,12.4,4.96,6.45,3.67,1.82",8,"Sigmoid",8.615665324,8,-47.75841522,0.5122
"9392","K029AX_SKIN","K029AX","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-9.7,-7.7,-4.5,-15,-27,-42,-51,-55","13.6,2.59,13.5,1.08,4.94,.95,1.87,7.06",8,"Sigmoid",0.349658072,2.110589266,-55.50765228,1.433
"9443","LOXIMVI_SKIN","LOX IMVI","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-6.3,-.94,-5.6,-5.8,-6.1,-11,-33,-37",".19,1.13,6.27,8.83,3.20,.87,2.56,7.27",8,"Sigmoid",1.317177534,8,-37.29179001,1.0243
"9451","MALME3M_SKIN","Malme-3M","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-18,-3.1,-2.3,-20,-45,-81,-91,-91","4.73,3.47,2.49,9.98,4.40,7.16,4.07,.37",8,"Sigmoid",0.276334286,0.285528094,-91.88554382,3.0335
"9459","MDAMB435S_SKIN","MDA-MB-435S","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8",".22,-8.2,.85,-7.1,-14,-36,-48,-78","4.18,5.87,8.75,7.69,5.28,.55,1.53,19.4",8,"Sigmoid",0.941861272,2.312842846,-62.58050156,1.7858
"9465","MELHO_SKIN","MEL-HO","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-8.4,-2.5,-9.6,-13,-41,-74,-78,-79","8.63,2.00,1.24,3.83,8.83,2.71,.19,2.55",8,"Sigmoid",0.258539736,0.312976211,-79.06602478,2.9418
"9467","MEWO_SKIN","MeWo","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-13,-1.6,13.5,22.0,-14,3.69,-23,-4.4","10.7,27.1,14.4,43.8,2.18,22.0,15.5,.088",8,"Constant",NA,8,-6.777186394,0.1847
"9591","RPMI7951_SKIN","RPMI-7951","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-8.7,-8.6,.54,-4.4,19.0,-9.1,-17,-11","6.72,.74,4.08,11.4,14.3,3.43,8.05,8.81",8,"Constant",NA,8,-7.484624386,0.54
"9595","RVH421_SKIN","RVH-421","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","17.2,-2.6,14.1,-8.1,-14,-57,-62,-72","7.11,9.78,2.71,.25,2.35,5.44,4.04,1.50",8,"Sigmoid",0.365521431,0.770638406,-70.78510284,2.1201
"9616","SKMEL2_SKIN","SK-MEL-2","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53","-23,4.79,-7.4,6.25,-3.2,2.68,18.3","2.39,13.5,.62,21.0,.72,8.04,10.3",7,"Linear",NA,2.531646013,-21.45771599,0.4425
"9617","SKMEL24_SKIN","SK-MEL-24","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","13.2,-2.7,4.21,-13,-13,-20,-41,-58","10.6,1.85,19.5,2.15,10.7,.31,18.3,1.28",8,"Sigmoid",8.857362357,5.15450716,-57.75396729,1.0325
"9618","SKMEL30_SKIN","SK-MEL-30","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-.55,-4.7,10.6,-4.2,7.22,-9.5,18.0,-.78","2.40,6.59,6.07,8.45,7.48,1.31,.042,15.6",8,"Constant",NA,8,1.236397505,0.0465
"9619","SKMEL31_SKIN","SK-MEL-31","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-1.8,-1.4,-1.2,1.57,7.00,2.71,-18,-40","13.9,5.51,14.9,3.68,8.39,11.3,30.9,2.99",8,"Sigmoid",2.632866383,8,-40.20570374,0.4061
"9620","SKMEL5_SKIN","SK-MEL-5","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-3.7,-8.1,-4.6,-11,-39,-61,-61,-64","3.44,4.86,4.29,14.9,8.42,1.32,2.11,2.01",8,"Sigmoid",0.212985426,0.369111031,-63.1432457,2.0478
"9684","UACC257_SKIN","UACC-257","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-3.3,-2.4,-9.8,-2.5,-26,-40,-67,-70","5.69,3.13,3.41,6.13,2.31,.63,1.57,2.32",8,"Sigmoid",0.637085676,1.064142346,-71.95616913,2.0796
"9685","UACC62_SKIN","UACC-62","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-11,.67,-31,-25,-54,-66,-74,-82","5.63,3.88,8.89,7.80,6.79,1.23,2.19,.082",8,"Sigmoid",0.175636262,0.249700621,-80.01663971,3.0249
"9691","WM115_SKIN","WM-115","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-4.7,7.23,5.58,12.9,1.14,-5.7,-39,-38","11.3,6.72,8.39,26.2,4.68,8.33,2.73,16.0",8,"Sigmoid",1.070204616,8,-39.21532822,0.691
"9692","WM1799_SKIN","WM1799","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-9.6,-1.4,1.75,5.90,-28,-43,-58,-70","1.86,17.8,15.0,23.6,.54,1.44,3.88,4.01",8,"Sigmoid",0.697920561,1.226397991,-69.3343811,1.9707
"9693","WM2664_SKIN","WM-266-4","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","5.84,2.31,-3.3,-.038,-7.8,-20,-68,-80","0,0,0,0,0,0,0,0",8,"Sigmoid",1.277853489,1.578695059,-80.35575867,1.5993
"9694","WM793_SKIN","WM-793","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-13,7.36,-8.5,19.9,-19,-27,-42,-50","5.97,5.40,18.5,20.1,5.98,9.84,4.08,11.8",8,"Sigmoid",0.734471619,8,-49.33164597,1.3967
"9695","WM88_SKIN","WM-88","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-5.5,2.00,-6.3,-24,-57,-77,-85,-89","2.56,1.19,1.47,.95,2.63,1.89,.74,1.02",8,"Sigmoid",0.168979511,0.204083994,-87.52676392,3.4382
"9696","WM983B_SKIN","WM-983B","PLX4720","RAF",".0025,.0080,.025,.080,.25,.80,2.53,8","-4.8,-12,-1.8,-17,-21,-56,-84,-87","3.85,14.6,3.54,7.39,41.4,20.9,4.24,5.02",8,"Sigmoid",0.473212808,0.51123476,-88.41945648,3.138
