Date,Well,Conc,Count,Treatment,Time,Cell.Line,UID,l2,nl2,Units
20120715,F2,0,504,BIBW2992,0,HCC1954,20120715_F2,8.977279923,0,Molar
20120715,F2,0,650,BIBW2992,8,HCC1954,20120715_F2,9.344295908,0.367015984,Molar
20120715,F2,0,922,BIBW2992,24,HCC1954,20120715_F2,9.84862294,0.871343017,Molar
20120715,F2,0,1209,BIBW2992,32,HCC1954,20120715_F2,10.23959853,1.262318606,Molar
20120715,F2,0,1880,BIBW2992,48,HCC1954,20120715_F2,10.87651695,1.899237023,Molar
20120715,F2,0,2276,BIBW2992,56,HCC1954,20120715_F2,11.15228484,2.175004919,Molar
20120715,F2,0,3569,BIBW2992,72,HCC1954,20120715_F2,11.80130419,2.824024263,Molar
20120715,F2,0,4206,BIBW2992,80,HCC1954,20120715_F2,12.03823313,3.060953211,Molar
20120715,F2,0,6504,BIBW2992,96,HCC1954,20120715_F2,12.66711154,3.689831619,Molar
20120715,F3,1.20E-10,524,BIBW2992,0,HCC1954,20120715_F3,9.033423002,0,Molar
20120715,F3,1.20E-10,618,BIBW2992,8,HCC1954,20120715_F3,9.271463028,0.238040026,Molar
20120715,F3,1.20E-10,1047,BIBW2992,24,HCC1954,20120715_F3,10.03204573,0.998622725,Molar
20120715,F3,1.20E-10,1258,BIBW2992,32,HCC1954,20120715_F3,10.29691621,1.263493205,Molar
20120715,F3,1.20E-10,1930,BIBW2992,48,HCC1954,20120715_F3,10.91438513,1.880962131,Molar
20120715,F3,1.20E-10,2346,BIBW2992,56,HCC1954,20120715_F3,11.1959873,2.162564296,Molar
20120715,F3,1.20E-10,3543,BIBW2992,72,HCC1954,20120715_F3,11.79075575,2.757332749,Molar
20120715,F3,1.20E-10,4506,BIBW2992,80,HCC1954,20120715_F3,12.1376316,3.104208597,Molar
20120715,F3,1.20E-10,6094,BIBW2992,96,HCC1954,20120715_F3,12.57317378,3.539750783,Molar
20120715,F4,4.80E-10,456,BIBW2992,0,HCC1954,20120715_F4,8.832890014,0,Molar
20120715,F4,4.80E-10,609,BIBW2992,8,HCC1954,20120715_F4,9.250298418,0.417408404,Molar
20120715,F4,4.80E-10,928,BIBW2992,24,HCC1954,20120715_F4,9.857980995,1.025090981,Molar
20120715,F4,4.80E-10,1179,BIBW2992,32,HCC1954,20120715_F4,10.203348,1.370457989,Molar
20120715,F4,4.80E-10,1798,BIBW2992,48,HCC1954,20120715_F4,10.81217731,1.979287291,Molar
20120715,F4,4.80E-10,2049,BIBW2992,56,HCC1954,20120715_F4,11.00070427,2.167814255,Molar
20120715,F4,4.80E-10,3274,BIBW2992,72,HCC1954,20120715_F4,11.67683861,2.843948592,Molar
20120715,F4,4.80E-10,3896,BIBW2992,80,HCC1954,20120715_F4,11.92777796,3.094887948,Molar
20120715,F4,4.80E-10,5742,BIBW2992,96,HCC1954,20120715_F4,12.48733762,3.654447601,Molar
20120715,F5,1.95E-09,607,BIBW2992,0,HCC1954,20120715_F5,9.245552706,0,Molar
20120715,F5,1.95E-09,731,BIBW2992,8,HCC1954,20120715_F5,9.513727596,0.26817489,Molar
20120715,F5,1.95E-09,1185,BIBW2992,24,HCC1954,20120715_F5,10.21067134,0.965118638,Molar
20120715,F5,1.95E-09,1456,BIBW2992,32,HCC1954,20120715_F5,10.50779464,1.262241934,Molar
