subl,var,cond,ID,val
DS4,pre72,DMSO,DS4_X20111007_D05_DMSO,0.020458046
DS4,pre72,DMSO,DS4_X20110628_E08_DMSO,0.027762675
DS4,pre72,DMSO,DS4_X20110628_F08_DMSO,0.025885866
DS4,pre72,DMSO,DS4_X20120612_B05_DMSO,0.037769982
DS4,pre72,DMSO,DS4_X20120612_C05_DMSO,0.037823859
DS4,pre72,DMSO,DS4_X20120612_D05_DMSO,0.03927011
DS4,norm72,erl,DS4_X20110524_B05_Erlotinib,0.718205081
DS4,raw72,erl,DS4_X20110524_B05_Erlotinib,0.666222647
DS4,norm72,erl,DS4_X20110524_C05_Erlotinib,0.664308896
DS4,raw72,erl,DS4_X20110524_C05_Erlotinib,0.616431439
DS4,norm72,erl,DS4_X20110628_C08_Erlotinib,0.58847175
DS4,raw72,erl,DS4_X20110628_C08_Erlotinib,0.552607685
DS4,norm72,erl,DS4_X20110628_D08_Erlotinib,0.54888712
DS4,raw72,erl,DS4_X20110628_D08_Erlotinib,0.521963548
DS4,norm72,erl,DS4_X20110715_E05_Erlotinib,0.613313141
DS4,raw72,erl,DS4_X20110715_E05_Erlotinib,0.572750666
DS4,norm72,erl,DS4_X20110715_F05_Erlotinib,0.588824782
DS4,raw72,erl,DS4_X20110715_F05_Erlotinib,0.552888923
DS4,norm72,erl,DS4_X20111007_E05_Erlotinib,0.652575235
DS4,raw72,erl,DS4_X20111007_E05_Erlotinib,0.606094673
DS4,norm72,erl,DS4_X20111007_F05_Erlotinib,0.6100687
DS4,raw72,erl,DS4_X20111007_F05_Erlotinib,0.570078743
DS4,DIP,erl,DS4_X20120612_E05_Erlotinib,0
DS4,DIP,erl,DS4_X20120612_F05_Erlotinib,0
DS4,DIP,erl,DS4_X20120612_G05_Erlotinib,0
DS4,DIP,erl,DS4_X20120605_E05_Erlotinib,0
DS4,DIP,erl,DS4_X20120605_F05_Erlotinib,0
DS4,DIP,erl,DS4_X20120605_G05_Erlotinib,0
DS4,DIP,erl,DS4_X20120618_E05_Erlotinib,0
DS4,DIP,erl,DS4_X20120618_F05_Erlotinib,0
DS4,DIP,erl,DS4_X20120618_G05_Erlotinib,0
DS4,DIP,erl,DS4_X20120112_E07_Erlotinib,0
DS4,fold10d,erl,X20110620,1.667424661
DS4,fold10d,erl,X20110620,1.747428193
DS4,fold10d,erl,X20110620,1.793636641
DS4,fold10d,erl,X20110720,1.706834504
DS4,fold10d,erl,X20110720,1.76669284
DS4,fold10d,erl,X20110720,1.951344194
DS4,fold10d,erl,X20120502,1.743689046
DS4,fold10d,erl,X20120502,1.753199552
DS4,fold10d,erl,X20120502,1.787100889
DS5,pre72,DMSO,DS5_X20110715_C06_DMSO,0.018237021
DS5,pre72,DMSO,DS5_X20110715_D06_DMSO,0.020131828
DS5,pre72,DMSO,DS5_X20111007_C06_DMSO,0.016778098
DS5,pre72,DMSO,DS5_X20111007_D06_DMSO,0.018837601
DS5,pre72,DMSO,DS5_X20110628_E09_DMSO,0.022959975
DS5,pre72,DMSO,DS5_X20110628_F09_DMSO,0.019099947
DS5,pre72,DMSO,DS5_X20120612_B06_DMSO,0.031121722
DS5,pre72,DMSO,DS5_X20120612_C06_DMSO,0.030433166
DS5,pre72,DMSO,DS5_X20120612_D06_DMSO,0.033776591
DS5,norm72,erl,DS5_X20110524_B06_Erlotinib,0.701232868
DS5,raw72,erl,DS5_X20110524_B06_Erlotinib,0.711441152
DS5,norm72,erl,DS5_X20110524_C06_Erlotinib,0.675339606
DS5,raw72,erl,DS5_X20110524_C06_Erlotinib,0.690755428
DS5,norm72,erl,DS5_X20110628_C09_Erlotinib,0.658679958
DS5,raw72,erl,DS5_X20110628_C09_Erlotinib,0.67776538
DS5,norm72,erl,DS5_X20110628_D09_Erlotinib,0.637611163
DS5,raw72,erl,DS5_X20110628_D09_Erlotinib,0.66168662
DS5,norm72,erl,DS5_X20110715_E06_Erlotinib,0.640068129
DS5,raw72,erl,DS5_X20110715_E06_Erlotinib,0.663541843
DS5,norm72,erl,DS5_X20110715_F06_Erlotinib,0.605674716
DS5,raw72,erl,DS5_X20110715_F06_Erlotinib,0.638038493
DS5,norm72,erl,DS5_X20111007_E06_Erlotinib,0.750748396
DS5,raw72,erl,DS5_X20111007_E06_Erlotinib,0.752738986
DS5,norm72,erl,DS5_X20111007_F06_Erlotinib,0.767121104
DS5,raw72,erl,DS5_X20111007_F06_Erlotinib,0.766915167
DS5,DIP,erl,DS5_X20120612_E06_Erlotinib,0
DS5,DIP,erl,DS5_X20120612_F06_Erlotinib,0
DS5,DIP,erl,DS5_X20120612_G06_Erlotinib,0
DS5,DIP,erl,DS5_X20120605_E06_Erlotinib,0
DS5,DIP,erl,DS5_X20120605_F06_Erlotinib,0
DS5,DIP,erl,DS5_X20120605_G06_Erlotinib,0
DS5,DIP,erl,DS5_X20120618_E06_Erlotinib,0
DS5,DIP,erl,DS5_X20120618_F06_Erlotinib,0
DS5,DIP,erl,DS5_X20120618_G06_Erlotinib,0
DS5,fold10d,erl,X20110620,0.209973162
DS5,fold10d,erl,X20110620,0.461076966
DS5,fold10d,erl,X20110620,0.79243893
DS5,fold10d,erl,X20110720,-0.061400545
DS5,fold10d,erl,X20110720,-0.046459311
DS5,fold10d,erl,X20110720,0.209241054
DS5,fold10d,erl,X20120502,-1.028453895
DS5,fold10d,erl,X20120502,-1.0564291
DS5,fold10d,erl,X20120502,-0.976107938
DS6,pre72,DMSO,DS6_X20110318_E02_DMSO,0.028454008
DS6,pre72,DMSO,DS6_X20110318_E03_DMSO,0.030149525
DS6,pre72,DMSO,DS6_X20110715_C07_DMSO,0.029059432
DS6,pre72,DMSO,DS6_X20110715_D07_DMSO,0.027800591
DS6,pre72,DMSO,DS6_X20110628_E10_DMSO,0.028221644
DS6,pre72,DMSO,DS6_X20110628_F10_DMSO,0.02648164
DS6,pre72,DMSO,DS6_X20120612_B07_DMSO,0.044390377
DS6,pre72,DMSO,DS6_X20120612_C07_DMSO,0.045294031
DS6,pre72,DMSO,DS6_X20120612_D07_DMSO,0.044154104
DS6,norm72,erl,DS6_X20110318_D06_Erlotinib,0.462567935
DS6,raw72,erl,DS6_X20110318_D06_Erlotinib,0.414444083
DS6,norm72,erl,DS6_X20110318_D07_Erlotinib,0.451948833
DS6,raw72,erl,DS6_X20110318_D07_Erlotinib,0.407293487
DS6,norm72,erl,DS6_X20110524_B07_Erlotinib,0.545364438
DS6,raw72,erl,DS6_X20110524_B07_Erlotinib,0.474677821
DS6,norm72,erl,DS6_X20110524_C07_Erlotinib,0.425504812
DS6,raw72,erl,DS6_X20110524_C07_Erlotinib,0.39001841
DS6,norm72,erl,DS6_X20110628_C10_Erlotinib,0.495938378
DS6,raw72,erl,DS6_X20110628_C10_Erlotinib,0.437742182
DS6,norm72,erl,DS6_X20110628_D10_Erlotinib,0.416580097
DS6,raw72,erl,DS6_X20110628_D10_Erlotinib,0.384355114
DS6,norm72,erl,DS6_X20110715_E07_Erlotinib,0.521923202
DS6,raw72,erl,DS6_X20110715_E07_Erlotinib,0.456787182
DS6,norm72,erl,DS6_X20110715_F07_Erlotinib,0.511084944
DS6,raw72,erl,DS6_X20110715_F07_Erlotinib,0.448744811
DS6,DIP,erl,DS6_X20120612_E07_Erlotinib,0
DS6,DIP,erl,DS6_X20120612_F07_Erlotinib,0
DS6,DIP,erl,DS6_X20120612_G07_Erlotinib,0
DS6,DIP,erl,DS6_X20120605_E07_Erlotinib,0
DS6,DIP,erl,DS6_X20120605_F07_Erlotinib,0
DS6,DIP,erl,DS6_X20120605_G07_Erlotinib,0
DS6,DIP,erl,DS6_X20120618_E07_Erlotinib,0
DS6,DIP,erl,DS6_X20120618_F07_Erlotinib,0
DS6,DIP,erl,DS6_X20120618_G07_Erlotinib,0
DS6,fold10d,erl,X20110620,0.770744779
DS6,fold10d,erl,X20110620,0.786596362
DS6,fold10d,erl,X20110620,0.970393538
DS6,fold10d,erl,X20110720,0.662531054
DS6,fold10d,erl,X20110720,0.981852653
DS6,fold10d,erl,X20110720,1.103093493
DS6,fold10d,erl,X20120502,0.269563878
DS6,fold10d,erl,X20120502,0.323291701
DS6,fold10d,erl,X20120502,0.4027467
DS7,pre72,DMSO,DS7_X20110318_F02_DMSO,0.033140824
DS7,pre72,DMSO,DS7_X20110318_F03_DMSO,0.036406374
DS7,pre72,DMSO,DS7_X20110715_C08_DMSO,0.037125997
DS7,pre72,DMSO,DS7_X20110715_D08_DMSO,0.036164812
DS7,pre72,DMSO,DS7_X20110628_E11_DMSO,0.029403878
DS7,pre72,DMSO,DS7_X20120612_B08_DMSO,0.046978453
DS7,pre72,DMSO,DS7_X20120612_C08_DMSO,0.046579985
DS7,pre72,DMSO,DS7_X20120612_D08_DMSO,0.04909015
DS7,norm72,erl,DS7_X20110318_F06_Erlotinib,0.458211753
DS7,raw72,erl,DS7_X20110318_F06_Erlotinib,0.355326053
DS7,norm72,erl,DS7_X20110318_F07_Erlotinib,0.438731099
DS7,raw72,erl,DS7_X20110318_F07_Erlotinib,0.342349188
DS7,norm72,erl,DS7_X20110524_B08_Erlotinib,0.442559516
DS7,raw72,erl,DS7_X20110524_B08_Erlotinib,0.344861481
DS7,norm72,erl,DS7_X20110524_C08_Erlotinib,0.440811571
DS7,raw72,erl,DS7_X20110524_C08_Erlotinib,0.343712161
DS7,norm72,erl,DS7_X20110628_D11_Erlotinib,0.431545544
DS7,raw72,erl,DS7_X20110628_D11_Erlotinib,0.337683173
DS7,norm72,erl,DS7_X20110715_E08_Erlotinib,0.486373503
DS7,raw72,erl,DS7_X20110715_E08_Erlotinib,0.374960158
DS7,norm72,erl,DS7_X20110715_F08_Erlotinib,0.483006765
DS7,raw72,erl,DS7_X20110715_F08_Erlotinib,0.372556946
DS7,norm72,erl,DS7_X20120825_G02_Erlotinib,0.445519346
DS7,raw72,erl,DS7_X20120825_G02_Erlotinib,0.346816417
DS7,DIP,erl,DS7_X20120605_E08_Erlotinib,0
DS7,DIP,erl,DS7_X20120605_F08_Erlotinib,0
DS7,DIP,erl,DS7_X20120605_G08_Erlotinib,0
DS7,DIP,erl,DS7_X20120618_E08_Erlotinib,0
DS7,DIP,erl,DS7_X20120618_F08_Erlotinib,0
DS7,DIP,erl,DS7_X20120618_G08_Erlotinib,0
DS7,DIP,erl,DS7_X20120112_E09_Erlotinib,0
DS7,DIP,erl,DS7_X20120825_E02_Erlotinib,0
DS7,DIP,erl,DS7_X20120825_F02_Erlotinib,0
DS7,DIP,erl,DS7_X20120825_G02_Erlotinib,0
DS7,fold10d,erl,X20110620,1.604071324
DS7,fold10d,erl,X20110620,1.26177496
DS7,fold10d,erl,X20110620,1.774099841
DS7,fold10d,erl,X20110720,1.347350692
DS7,fold10d,erl,X20110720,1.106436936
DS7,fold10d,erl,X20110720,1.439912168
DS7,fold10d,erl,X20120502,0.935659992
DS7,fold10d,erl,X20120502,1.086587685
DS7,fold10d,erl,X20120502,1.188033576
