subl,var,cond,ID,val
DS1,pre72,DMSO,DS1_X20110318_B02_DMSO,0.032474994
DS1,pre72,DMSO,DS1_X20110318_B03_DMSO,0.031198188
DS1,pre72,DMSO,DS1_X20110715_C02_DMSO,0.031084443
DS1,pre72,DMSO,DS1_X20110715_D02_DMSO,0.028774228
DS1,pre72,DMSO,DS1_X20110628_E05_DMSO,0.023712912
DS1,pre72,DMSO,DS1_X20110628_F05_DMSO,0.024258811
DS1,pre72,DMSO,DS1_X20120612_B02_DMSO,0.041292247
DS1,pre72,DMSO,DS1_X20120612_C02_DMSO,0.042407565
DS1,pre72,DMSO,DS1_X20120612_D02_DMSO,0.044573489
DS1,norm72,erl,DS1_X20110318_B06_Erlotinib,0.328678717
DS1,raw72,erl,DS1_X20110318_B06_Erlotinib,0.337918837
DS1,norm72,erl,DS1_X20110318_B07_Erlotinib,0.312857238
DS1,raw72,erl,DS1_X20110318_B07_Erlotinib,0.329387875
DS1,norm72,erl,DS1_X20110524_B02_Erlotinib,0.382131109
DS1,raw72,erl,DS1_X20110524_B02_Erlotinib,0.368408478
DS1,norm72,erl,DS1_X20110524_C02_Erlotinib,0.323487842
DS1,raw72,erl,DS1_X20110524_C02_Erlotinib,0.335095832
DS1,norm72,erl,DS1_X20110628_C05_Erlotinib,0.282716268
DS1,raw72,erl,DS1_X20110628_C05_Erlotinib,0.313727245
DS1,norm72,erl,DS1_X20110628_D05_Erlotinib,0.266550406
DS1,raw72,erl,DS1_X20110628_D05_Erlotinib,0.305636858
DS1,norm72,erl,DS1_X20110715_E02_Erlotinib,0.416102764
DS1,raw72,erl,DS1_X20110715_E02_Erlotinib,0.389200753
DS1,norm72,erl,DS1_X20110715_F02_Erlotinib,0.396866538
DS1,raw72,erl,DS1_X20110715_F02_Erlotinib,0.377287253
DS1,DIP,erl,DS1_X20120612_E02_Erlotinib,0
DS1,DIP,erl,DS1_X20120612_F02_Erlotinib,0
DS1,DIP,erl,DS1_X20120612_G02_Erlotinib,0
DS1,DIP,erl,DS1_X20120605_E02_Erlotinib,0
DS1,DIP,erl,DS1_X20120605_F02_Erlotinib,0
DS1,DIP,erl,DS1_X20120605_G02_Erlotinib,0
DS1,DIP,erl,DS1_X20120618_E02_Erlotinib,0
DS1,DIP,erl,DS1_X20120618_F02_Erlotinib,0
DS1,DIP,erl,DS1_X20120618_G02_Erlotinib,0
DS1,DIP,erl,DS1_X20120112_E03_Erlotinib,0
DS1,fold10d,erl,X20110620,-0.541683436
DS1,fold10d,erl,X20110620,-0.106915204
DS1,fold10d,erl,X20110620,0.024522319
DS1,fold10d,erl,X20110720,-0.138706271
DS1,fold10d,erl,X20110720,0.461785758
DS1,fold10d,erl,X20110720,0.532495081
DS1,fold10d,erl,X20120502,-0.782270921
DS1,fold10d,erl,X20120502,-0.885081553
DS1,fold10d,erl,X20120502,-0.431927335
DS2,pre72,DMSO,DS2_X20110318_C02_DMSO,0.033306628
DS2,pre72,DMSO,DS2_X20110318_C03_DMSO,0.036987617
DS2,pre72,DMSO,DS2_X20110715_D03_DMSO,0.03067926
DS2,pre72,DMSO,DS2_X20110715_C03_DMSO,0.031460802
DS2,pre72,DMSO,DS2_X20110628_E06_DMSO,0.027005965
DS2,pre72,DMSO,DS2_X20110628_F06_DMSO,0.023170551
DS2,pre72,DMSO,DS2_X20120612_B03_DMSO,0.047049821
DS2,pre72,DMSO,DS2_X20120612_C03_DMSO,0.044465035
DS2,pre72,DMSO,DS2_X20120612_D03_DMSO,0.044271624
DS2,norm72,erl,DS2_X20110318_C06_Erlotinib,0.447222803
DS2,raw72,erl,DS2_X20110318_C06_Erlotinib,0.387183552
DS2,norm72,erl,DS2_X20110318_C07_Erlotinib,0.480722744
DS2,raw72,erl,DS2_X20110318_C07_Erlotinib,0.410100558
DS2,norm72,erl,DS2_X20110524_B03_Erlotinib,0.494040866
DS2,raw72,erl,DS2_X20110524_B03_Erlotinib,0.419583812
DS2,norm72,erl,DS2_X20110524_C03_Erlotinib,0.501456206
DS2,raw72,erl,DS2_X20110524_C03_Erlotinib,0.424958671
DS2,norm72,erl,DS2_X20110628_C06_Erlotinib,0.474909578
DS2,raw72,erl,DS2_X20110628_C06_Erlotinib,0.40602874
DS2,norm72,erl,DS2_X20110628_D06_Erlotinib,0.446600664
DS2,raw72,erl,DS2_X20110628_D06_Erlotinib,0.386770293
DS2,norm72,erl,DS2_X20110715_E03_Erlotinib,0.513003511
DS2,raw72,erl,DS2_X20110715_E03_Erlotinib,0.433465916
DS2,norm72,erl,DS2_X20110715_F03_Erlotinib,0.482249641
DS2,raw72,erl,DS2_X20110715_F03_Erlotinib,0.411176825
DS2,DIP,erl,DS2_X20120612_E03_Erlotinib,0
DS2,DIP,erl,DS2_X20120612_F03_Erlotinib,0
DS2,DIP,erl,DS2_X20120612_G03_Erlotinib,0
DS2,DIP,erl,DS2_X20120605_E03_Erlotinib,0
DS2,DIP,erl,DS2_X20120605_F03_Erlotinib,0
DS2,DIP,erl,DS2_X20120605_G03_Erlotinib,0
DS2,DIP,erl,DS2_X20120618_E03_Erlotinib,0
DS2,DIP,erl,DS2_X20120618_F03_Erlotinib,0
DS2,DIP,erl,DS2_X20120618_G03_Erlotinib,0
DS2,fold10d,erl,X20110620,-0.686962214
DS2,fold10d,erl,X20110620,-0.514573173
DS2,fold10d,erl,X20110620,-0.485426827
DS2,fold10d,erl,X20110720,0.016488123
DS2,fold10d,erl,X20110720,0.233430693
DS2,fold10d,erl,X20110720,0.528759079
DS2,fold10d,erl,X20120502,-1.410082455
DS2,fold10d,erl,X20120502,-1.32880995
DS2,fold10d,erl,X20120502,-1.085605765
DS3,pre72,DMSO,DS3_X20110318_D02_DMSO,0.031499249
DS3,pre72,DMSO,DS3_X20110318_D03_DMSO,0.036241765
DS3,pre72,DMSO,DS3_X20110628_E07_DMSO,0.032586
DS3,pre72,DMSO,DS3_X20110628_F07_DMSO,0.031334672
DS3,pre72,DMSO,DS3_X20110715_C04_DMSO,0.032081983
DS3,pre72,DMSO,DS3_X20110715_D04_DMSO,0.0289995
DS3,pre72,DMSO,DS3_X20120612_B04_DMSO,0.050558212
DS3,pre72,DMSO,DS3_X20120612_C04_DMSO,0.046127486
DS3,pre72,DMSO,DS3_X20120612_D04_DMSO,0.050317302
DS3,norm72,erl,DS3_X20110318_D06_Erlotinib,0.620718375
DS3,raw72,erl,DS3_X20110318_D06_Erlotinib,0.499224142
DS3,norm72,erl,DS3_X20110318_D07_Erlotinib,0.631577534
DS3,raw72,erl,DS3_X20110318_D07_Erlotinib,0.509253047
DS3,norm72,erl,DS3_X20110524_B04_Erlotinib,0.595030911
DS3,raw72,erl,DS3_X20110524_B04_Erlotinib,0.476279794
DS3,norm72,erl,DS3_X20110524_C04_Erlotinib,0.617588793
DS3,raw72,erl,DS3_X20110524_C04_Erlotinib,0.496370672
DS3,norm72,erl,DS3_X20110628_C07_Erlotinib,0.496778596
DS3,raw72,erl,DS3_X20110628_C07_Erlotinib,0.397837848
DS3,norm72,erl,DS3_X20110628_D07_Erlotinib,0.54305248
DS3,raw72,erl,DS3_X20110628_D07_Erlotinib,0.433027272
DS3,norm72,erl,DS3_X20110715_E04_Erlotinib,0.566256204
DS3,raw72,erl,DS3_X20110715_E04_Erlotinib,0.4518278
DS3,norm72,erl,DS3_X20110715_F04_Erlotinib,0.597516593
DS3,raw72,erl,DS3_X20110715_F04_Erlotinib,0.478453157
DS3,DIP,erl,DS3_X20120612_E04_Erlotinib,0
DS3,DIP,erl,DS3_X20120612_F04_Erlotinib,0
DS3,DIP,erl,DS3_X20120612_G04_Erlotinib,0
DS3,DIP,erl,DS3_X20120605_E04_Erlotinib,0
DS3,DIP,erl,DS3_X20120605_F04_Erlotinib,0
DS3,DIP,erl,DS3_X20120605_G04_Erlotinib,0
DS3,DIP,erl,DS3_X20120618_E04_Erlotinib,0
DS3,DIP,erl,DS3_X20120618_F04_Erlotinib,0
DS3,DIP,erl,DS3_X20120618_G04_Erlotinib,0
DS3,DIP,erl,DS3_X20120112_E05_Erlotinib,0
DS3,fold10d,erl,X20110620,-0.15277028
DS3,fold10d,erl,X20110620,0.070278696
DS3,fold10d,erl,X20110620,0.425107358
DS3,fold10d,erl,X20110720,-0.4174561
DS3,fold10d,erl,X20110720,-0.039170597
DS3,fold10d,erl,X20110720,-0.018223759
DS3,fold10d,erl,X20120502,-0.958835324
DS3,fold10d,erl,X20120502,-1.243434429
DS3,fold10d,erl,X20120502,-1.293435884
DS4,pre72,DMSO,DS4_X20110715_C05_DMSO,0.028679315
DS4,pre72,DMSO,DS4_X20110715_D05_DMSO,0.028768085
DS4,pre72,DMSO,DS4_X20111007_C05_DMSO,0.02091494
