exptDate,plateID,cellLine,ECID,PLF_num,Well,Row,Column,Cell.Nucleus,conc,resp.ratio
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A11,A,11,25067,0,0.806654814
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B11,B,11,32025,0,1.030562908
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C11,C,11,33299,0,1.071560164
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D11,D,11,33910,0,1.091222114
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A10,A,10,28153,2.00E-13,0.90596214
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B10,B,10,34389,2.00E-13,1.10663631
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C10,C,10,36966,2.00E-13,1.189564042
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D10,D,10,35697,2.00E-13,1.148727685
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A09,A,9,28735,2.00E-12,0.924690871
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B09,B,9,31952,2.00E-12,1.028213771
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C09,C,9,32968,2.00E-12,1.060908601
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D09,D,9,31850,2.00E-12,1.024931416
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A08,A,8,26279,2.00E-11,0.845656913
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B08,B,8,32035,2.00E-11,1.030884707
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C08,C,8,32398,2.00E-11,1.042566029
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D08,D,8,34874,2.00E-11,1.122243586
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A07,A,7,27040,2.00E-10,0.870145856
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B07,B,7,31692,2.00E-10,1.019846984
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C07,C,7,32839,2.00E-10,1.056757387
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D07,D,7,31795,2.00E-10,1.023161519
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A06,A,6,25756,2.00E-09,0.828826799
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B06,B,6,31313,2.00E-09,1.007650783
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C06,C,6,33103,2.00E-09,1.065252894
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D06,D,6,30659,2.00E-09,0.986605096
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A05,A,5,17723,2.00E-08,0.570325259
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B05,B,5,20462,2.00E-08,0.658466143
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C05,C,5,23010,2.00E-08,0.740460656
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D05,D,5,22680,2.00E-08,0.729841272
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A04,A,4,10668,2.00E-07,0.34329571
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B04,B,4,12695,2.00E-07,0.408524469
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C04,C,4,13212,2.00E-07,0.425161503
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D04,D,4,14228,2.00E-07,0.457856333
2012-03-20,1,DS1,2012-03-20_1_DS1,7,A03,A,3,11135,2.00E-06,0.358323746
2012-03-20,1,DS1,2012-03-20_1_DS1,7,B03,B,3,12097,2.00E-06,0.389280859
2012-03-20,1,DS1,2012-03-20_1_DS1,7,C03,C,3,13732,2.00E-06,0.441895077
2012-03-20,1,DS1,2012-03-20_1_DS1,7,D03,D,3,13488,2.00E-06,0.434043169
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E11,E,11,45489,0,1.02959966
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F11,F,11,45268,0,1.024597539
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G11,G,11,45405,0,1.027698401
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H11,H,11,40563,0,0.918104399
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E10,E,10,44948,2.00E-13,1.017354647
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F10,F,10,44183,2.00E-13,1.00003961
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G10,G,10,42369,2.00E-13,0.958981468
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H10,H,10,40468,2.00E-13,0.915954166
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E09,E,9,41806,2.00E-12,0.946238506
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F09,F,9,42565,2.00E-12,0.963417739
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G09,G,9,43698,2.00E-12,0.989062102
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H09,H,9,38885,2.00E-12,0.880124487
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E08,E,8,46256,2.00E-11,1.046959966
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F08,F,8,44049,2.00E-11,0.997006649
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G08,G,8,42595,2.00E-11,0.964096761
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H08,H,8,38843,2.00E-11,0.879173858
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E07,E,7,44208,2.00E-10,1.00060546
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F07,F,7,47893,2.00E-10,1.084011883
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G07,G,7,43012,2.00E-10,0.973535153
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H07,H,7,39008,2.00E-10,0.882908474
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E06,E,6,47975,2.00E-09,1.085867874
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F06,F,6,49211,2.00E-09,1.113843542
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G06,G,6,43369,2.00E-09,0.981615504
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H06,H,6,40962,2.00E-09,0.92713538
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E05,E,5,47137,2.00E-08,1.066900552
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F05,F,5,42620,2.00E-08,0.964662611
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G05,G,5,40040,2.00E-08,0.906266799
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H05,H,5,33383,2.00E-08,0.755592022
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E04,E,4,22252,2.00E-07,0.503652568
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F04,F,4,22292,2.00E-07,0.504557929
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G04,G,4,20467,2.00E-07,0.463250813
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H04,H,4,16768,2.00E-07,0.379527514
2012-03-20,1,DS2,2012-03-20_1_DS2,7,E03,E,3,22967,2.00E-06,0.519835903
2012-03-20,1,DS2,2012-03-20_1_DS2,7,F03,F,3,20654,2.00E-06,0.467483378
2012-03-20,1,DS2,2012-03-20_1_DS2,7,G03,G,3,21389,2.00E-06,0.484119395
2012-03-20,1,DS2,2012-03-20_1_DS2,7,H03,H,3,13857,2.00E-06,0.313639836
2012-03-20,2,DS3,2012-03-20_2_DS3,7,A11,A,11,19301,0,0.68752282
2012-03-20,2,DS3,2012-03-20_2_DS3,7,B11,B,11,28979,0,1.03226381
2012-03-20,2,DS3,2012-03-20_2_DS3,7,C11,C,11,31905,0,1.136491144
2012-03-20,2,DS3,2012-03-20_2_DS3,7,D11,D,11,32108,0,1.143722227
2012-03-20,2,DS3,2012-03-20_2_DS3,7,A10,A,10,20751,2.00E-13,0.739173412
2012-03-20,2,DS3,2012-03-20_2_DS3,7,B10,B,10,28057,2.00E-13,0.999421157
2012-03-20,2,DS3,2012-03-20_2_DS3,7,C10,C,10,34062,2.00E-13,1.213325853
2012-03-20,2,DS3,2012-03-20_2_DS3,7,D10,D,10,32104,2.00E-13,1.143579742
2012-03-20,2,DS3,2012-03-20_2_DS3,7,A09,A,9,23366,2.00E-12,0.832322585
2012-03-20,2,DS3,2012-03-20_2_DS3,7,B09,B,9,29447,2.00E-12,1.048934484
2012-03-20,2,DS3,2012-03-20_2_DS3,7,C09,C,9,32680,2.00E-12,1.164097495
