Well,Row,Column,Time.pt,time,NumNuclei,l2,nl2,exptDate,cellLine,drug,conc,UID
B02,B,2,1,0,287,8.164906927,0,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B02,B,2,2,17,502,8.971543554,0.806636627,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B02,B,2,3,24,581,9.182394353,1.017487427,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B02,B,2,4,42,1110,10.11634396,1.951437035,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B02,B,2,5,49,1372,10.42206477,2.257157839,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B02,B,2,6,64,2207,11.10787091,2.942963988,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B02,B,2,7,72,2806,11.45429929,3.289392367,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B02,B,2,8,85,4222,12.04371086,3.878803937,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B02,B,2,9,97,5478,12.41943355,4.254526624,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
B03,B,3,1,0,231,7.851749041,0,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B03,B,3,2,17,444,8.794415866,0.942666825,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B03,B,3,3,24,565,9.142107057,1.290358016,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B03,B,3,4,42,1067,10.05934446,2.207595419,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B03,B,3,5,49,1293,10.33650656,2.484757518,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B03,B,3,6,64,2176,11.08746284,3.2357138,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B03,B,3,7,72,2731,11.4152136,3.563464557,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B03,B,3,8,85,3907,11.93184554,4.080096499,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B03,B,3,9,97,5256,12.35974956,4.508000519,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
B04,B,4,1,0,272,8.087462841,0,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B04,B,4,2,17,523,9.030667136,0.943204295,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B04,B,4,3,24,629,9.296916207,1.209453366,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B04,B,4,4,42,1181,10.20579325,2.118330408,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B04,B,4,5,49,1353,10.40194612,2.314483283,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B04,B,4,6,64,2359,11.2039597,3.116496862,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B04,B,4,7,72,2736,11.41785251,3.330389674,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B04,B,4,8,85,4308,12.07280253,3.985339693,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B04,B,4,9,97,5444,12.41045135,4.32298851,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
B05,B,5,1,0,258,8.011227255,0,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B05,B,5,2,17,455,8.829722735,0.81849548,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B05,B,5,3,24,564,9.139551352,1.128324097,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B05,B,5,4,42,1017,9.990103964,1.978876708,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B05,B,5,5,49,1193,10.22037833,2.209151072,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B05,B,5,6,64,1905,10.89557528,2.884348027,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B05,B,5,7,72,2578,11.33203655,3.320809293,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B05,B,5,8,85,3518,11.78053977,3.769312512,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B05,B,5,9,97,4819,12.23451809,4.22329083,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
B06,B,6,1,0,356,8.475733431,0,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B06,B,6,2,17,653,9.350939182,0.875205751,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B06,B,6,3,24,748,9.54689446,1.071161029,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B06,B,6,4,42,1095,10.09671515,1.620981724,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B06,B,6,5,49,1285,10.32755264,1.851819213,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B06,B,6,6,64,1850,10.85330956,2.377576124,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B06,B,6,7,72,2240,11.12928302,2.653549586,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B06,B,6,8,85,3054,11.57648435,3.100750916,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B06,B,6,9,97,3950,11.94763694,3.471903507,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
B07,B,7,1,0,383,8.581200582,0,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B07,B,7,2,17,525,9.036173613,0.454973031,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B07,B,7,3,24,545,9.09011242,0.508911838,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B07,B,7,4,42,601,9.231221181,0.650020599,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B07,B,7,5,49,609,9.250298418,0.669097836,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B07,B,7,6,64,649,9.342074668,0.760874086,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B07,B,7,7,72,704,9.459431619,0.878231037,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B07,B,7,8,85,787,9.620219826,1.039019244,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B07,B,7,9,97,835,9.705632387,1.124431805,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
B08,B,8,1,0,274,8.098032083,0,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B08,B,8,2,17,382,8.577428828,0.479396745,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B08,B,8,3,24,404,8.658211483,0.5601794,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B08,B,8,4,42,429,8.744833837,0.646801755,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B08,B,8,5,49,437,8.77148947,0.673457387,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B08,B,8,6,64,496,8.95419631,0.856164227,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B08,B,8,7,72,486,8.924812504,0.826780421,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B08,B,8,8,85,510,8.994353437,0.896321354,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B08,B,8,9,97,544,9.087462841,0.989430758,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
B09,B,9,1,0,276,8.108524457,0,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B09,B,9,2,17,402,8.651051691,0.542527234,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B09,B,9,3,24,422,8.721099189,0.612574732,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B09,B,9,4,42,455,8.829722735,0.721198278,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B09,B,9,5,49,450,8.813781191,0.705256734,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B09,B,9,6,64,491,8.939579214,0.831054758,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B09,B,9,7,72,483,8.915879379,0.807354922,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B09,B,9,8,85,509,8.991521846,0.882997389,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B09,B,9,9,97,512,9,0.891475543,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
B10,B,10,1,0,267,8.060695932,0,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
B10,B,10,2,17,360,8.491853096,0.431157165,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
B10,B,10,3,24,354,8.46760555,0.406909618,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
B10,B,10,4,42,317,8.30833903,0.247643098,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
B10,B,10,5,49,309,8.271463028,0.210767096,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
