Expt,Well,Subline,Time_h,Cell.count,Condition,FUCCI.cells,UID,l2,cc,nl2
X20120612,B09,PC9,0,292,DMSO,151,PC9.par_X20120612_DMSO_B09,8.189824559,PC9_DMSO,0
X20120612,B09,PC9,1.005,318,DMSO,163,PC9.par_X20120612_DMSO_B09,8.312882955,PC9_DMSO,0.123058396
X20120612,B09,PC9,2.01,311,DMSO,166,PC9.par_X20120612_DMSO_B09,8.28077077,PC9_DMSO,0.090946211
X20120612,B09,PC9,3.015,343,DMSO,172,PC9.par_X20120612_DMSO_B09,8.422064766,PC9_DMSO,0.232240207
X20120612,B09,PC9,4.02,351,DMSO,185,PC9.par_X20120612_DMSO_B09,8.45532722,PC9_DMSO,0.265502661
X20120612,B09,PC9,5.024999999,351,DMSO,199,PC9.par_X20120612_DMSO_B09,8.45532722,PC9_DMSO,0.265502661
X20120612,B09,PC9,6.029999999,375,DMSO,199,PC9.par_X20120612_DMSO_B09,8.550746785,PC9_DMSO,0.360922227
X20120612,B09,PC9,7.034999999,387,DMSO,188,PC9.par_X20120612_DMSO_B09,8.596189756,PC9_DMSO,0.406365197
X20120612,B09,PC9,8.039999999,394,DMSO,205,PC9.par_X20120612_DMSO_B09,8.622051819,PC9_DMSO,0.432227261
X20120612,B09,PC9,9.044999999,414,DMSO,205,PC9.par_X20120612_DMSO_B09,8.693486957,PC9_DMSO,0.503662399
X20120612,B09,PC9,10.05,405,DMSO,213,PC9.par_X20120612_DMSO_B09,8.661778098,PC9_DMSO,0.471953539
X20120612,B09,PC9,11.055,450,DMSO,210,PC9.par_X20120612_DMSO_B09,8.813781191,PC9_DMSO,0.623956632
X20120612,B09,PC9,12.06,450,DMSO,218,PC9.par_X20120612_DMSO_B09,8.813781191,PC9_DMSO,0.623956632
X20120612,B09,PC9,13.065,460,DMSO,231,PC9.par_X20120612_DMSO_B09,8.845490051,PC9_DMSO,0.655665492
X20120612,B09,PC9,14.07,461,DMSO,244,PC9.par_X20120612_DMSO_B09,8.84862294,PC9_DMSO,0.658798382
X20120612,B09,PC9,15.075,494,DMSO,264,PC9.par_X20120612_DMSO_B09,8.948367232,PC9_DMSO,0.758542673
X20120612,B09,PC9,16.08,526,DMSO,286,PC9.par_X20120612_DMSO_B09,9.038918989,PC9_DMSO,0.84909443
X20120612,B09,PC9,17.085,519,DMSO,287,PC9.par_X20120612_DMSO_B09,9.019590728,PC9_DMSO,0.829766169
X20120612,B09,PC9,18.09,541,DMSO,297,PC9.par_X20120612_DMSO_B09,9.079484784,PC9_DMSO,0.889660225
X20120612,B09,PC9,19.095,530,DMSO,297,PC9.par_X20120612_DMSO_B09,9.049848549,PC9_DMSO,0.860023991
X20120612,B09,PC9,20.1,556,DMSO,313,PC9.par_X20120612_DMSO_B09,9.118941073,PC9_DMSO,0.929116514
X20120612,B09,PC9,21.105,584,DMSO,318,PC9.par_X20120612_DMSO_B09,9.189824559,PC9_DMSO,1
X20120612,B09,PC9,22.11,566,DMSO,311,PC9.par_X20120612_DMSO_B09,9.144658243,PC9_DMSO,0.954833684
X20120612,B09,PC9,23.115,584,DMSO,312,PC9.par_X20120612_DMSO_B09,9.189824559,PC9_DMSO,1
X20120612,B09,PC9,24.12,635,DMSO,324,PC9.par_X20120612_DMSO_B09,9.310612782,PC9_DMSO,1.120788223
X20120612,B09,PC9,25.125,625,DMSO,318,PC9.par_X20120612_DMSO_B09,9.28771238,PC9_DMSO,1.097887821
X20120612,B09,PC9,26.13,660,DMSO,322,PC9.par_X20120612_DMSO_B09,9.366322214,PC9_DMSO,1.176497655
X20120612,B09,PC9,27.135,735,DMSO,330,PC9.par_X20120612_DMSO_B09,9.52160044,PC9_DMSO,1.331775881
X20120612,B09,PC9,28.14,687,DMSO,322,PC9.par_X20120612_DMSO_B09,9.424166289,PC9_DMSO,1.23434173
X20120612,B09,PC9,29.145,733,DMSO,343,PC9.par_X20120612_DMSO_B09,9.517669388,PC9_DMSO,1.327844829
X20120612,B09,PC9,30.15,759,DMSO,360,PC9.par_X20120612_DMSO_B09,9.567956075,PC9_DMSO,1.378131517
X20120612,B09,PC9,31.155,780,DMSO,370,PC9.par_X20120612_DMSO_B09,9.607330314,PC9_DMSO,1.417505755
X20120612,B09,PC9,32.16,836,DMSO,395,PC9.par_X20120612_DMSO_B09,9.707359132,PC9_DMSO,1.517534573
X20120612,B09,PC9,33.165,764,DMSO,406,PC9.par_X20120612_DMSO_B09,9.577428828,PC9_DMSO,1.387604269
X20120612,B09,PC9,34.17,854,DMSO,434,PC9.par_X20120612_DMSO_B09,9.73809226,PC9_DMSO,1.548267701
X20120612,B09,PC9,35.175,869,DMSO,444,PC9.par_X20120612_DMSO_B09,9.763212367,PC9_DMSO,1.573387808
X20120612,B09,PC9,36.18,878,DMSO,466,PC9.par_X20120612_DMSO_B09,9.77807713,PC9_DMSO,1.588252571
X20120612,B09,PC9,37.185,919,DMSO,511,PC9.par_X20120612_DMSO_B09,9.843921051,PC9_DMSO,1.654096492
X20120612,B09,PC9,38.19,953,DMSO,514,PC9.par_X20120612_DMSO_B09,9.896332404,PC9_DMSO,1.706507845
X20120612,B09,PC9,39.195,954,DMSO,506,PC9.par_X20120612_DMSO_B09,9.897845456,PC9_DMSO,1.708020897
X20120612,B09,PC9,40.2,1015,DMSO,519,PC9.par_X20120612_DMSO_B09,9.987264012,PC9_DMSO,1.797439453
X20120612,B09,PC9,41.205,1027,DMSO,497,PC9.par_X20120612_DMSO_B09,10.00422047,PC9_DMSO,1.814395907
X20120612,B09,PC9,42.21,1059,DMSO,488,PC9.par_X20120612_DMSO_B09,10.04848687,PC9_DMSO,1.858662315
X20120612,B09,PC9,43.215,1036,DMSO,462,PC9.par_X20120612_DMSO_B09,10.01680829,PC9_DMSO,1.826983729
X20120612,B09,PC9,44.22,1093,DMSO,455,PC9.par_X20120612_DMSO_B09,10.09407769,PC9_DMSO,1.904253127
X20120612,B09,PC9,45.22499999,1191,DMSO,465,PC9.par_X20120612_DMSO_B09,10.2179577,PC9_DMSO,2.028133139
X20120612,B09,PC9,46.22999999,1202,DMSO,476,PC9.par_X20120612_DMSO_B09,10.23122118,PC9_DMSO,2.041396622
X20120612,B09,PC9,47.23499999,1202,DMSO,471,PC9.par_X20120612_DMSO_B09,10.23122118,PC9_DMSO,2.041396622
X20120612,B09,PC9,48.23999999,1255,DMSO,489,PC9.par_X20120612_DMSO_B09,10.29347165,PC9_DMSO,2.10364709
X20120612,B09,PC9,49.24499999,1266,DMSO,491,PC9.par_X20120612_DMSO_B09,10.30606169,PC9_DMSO,2.116237131
X20120612,B09,PC9,50.24999999,1299,DMSO,492,PC9.par_X20120612_DMSO_B09,10.34318572,PC9_DMSO,2.153361157
X20120612,B09,PC9,51.25499999,1322,DMSO,520,PC9.par_X20120612_DMSO_B09,10.36850646,PC9_DMSO,2.178681903
X20120612,B09,PC9,52.25999999,1374,DMSO,560,PC9.par_X20120612_DMSO_B09,10.42416629,PC9_DMSO,2.23434173
X20120612,B09,PC9,53.26499999,1400,DMSO,586,PC9.par_X20120612_DMSO_B09,10.45121111,PC9_DMSO,2.261386553
X20120612,B09,PC9,54.26999999,1402,DMSO,586,PC9.par_X20120612_DMSO_B09,10.45327063,PC9_DMSO,2.263446075
X20120612,B09,PC9,55.27499999,1456,DMSO,625,PC9.par_X20120612_DMSO_B09,10.50779464,PC9_DMSO,2.317970081
X20120612,B09,PC9,56.27999999,1473,DMSO,616,PC9.par_X20120612_DMSO_B09,10.52454172,PC9_DMSO,2.334717156
X20120612,B09,PC9,57.28499999,1495,DMSO,619,PC9.par_X20120612_DMSO_B09,10.54592977,PC9_DMSO,2.35610521
X20120612,B09,PC9,58.28999999,1390,DMSO,628,PC9.par_X20120612_DMSO_B09,10.44086917,PC9_DMSO,2.251044609
X20120612,B09,PC9,59.29499999,1553,DMSO,639,PC9.par_X20120612_DMSO_B09,10.60084211,PC9_DMSO,2.411017556
X20120612,B09,PC9,60.29999999,1528,DMSO,602,PC9.par_X20120612_DMSO_B09,10.57742883,PC9_DMSO,2.387604269
X20120612,B09,PC9,61.30499999,1667,DMSO,587,PC9.par_X20120612_DMSO_B09,10.70303839,PC9_DMSO,2.51321383
X20120612,B09,PC9,62.30999999,1648,DMSO,583,PC9.par_X20120612_DMSO_B09,10.68650053,PC9_DMSO,2.496675968
X20120612,B09,PC9,63.31499999,1679,DMSO,575,PC9.par_X20120612_DMSO_B09,10.71338651,PC9_DMSO,2.523561956
X20120612,B09,PC9,64.31999999,1707,DMSO,551,PC9.par_X20120612_DMSO_B09,10.73724734,PC9_DMSO,2.547422784
X20120612,B09,PC9,65.32499999,1679,DMSO,538,PC9.par_X20120612_DMSO_B09,10.71338651,PC9_DMSO,2.523561956
X20120612,B09,PC9,66.32999999,1835,DMSO,564,PC9.par_X20120612_DMSO_B09,10.84156435,PC9_DMSO,2.651739789
X20120612,B09,PC9,67.33499999,1840,DMSO,542,PC9.par_X20120612_DMSO_B09,10.84549005,PC9_DMSO,2.655665492
X20120612,B09,PC9,68.33999999,1924,DMSO,539,PC9.par_X20120612_DMSO_B09,10.90989308,PC9_DMSO,2.720068525
X20120612,B09,PC9,69.34499999,1888,DMSO,515,PC9.par_X20120612_DMSO_B09,10.88264305,PC9_DMSO,2.69281849
X20120612,B09,PC9,70.34999999,1888,DMSO,414,PC9.par_X20120612_DMSO_B09,10.88264305,PC9_DMSO,2.69281849
X20120612,B09,PC9,71.35499999,1889,DMSO,465,PC9.par_X20120612_DMSO_B09,10.88340699,PC9_DMSO,2.693582428
X20120612,G06,DS5,0,32,Erlotinib,19,DS5_X20120612_Erlotinib_G06,5,DS5_Erlotinib,0
X20120612,G06,DS5,1.005,39,Erlotinib,19,DS5_X20120612_Erlotinib_G06,5.285402219,DS5_Erlotinib,0.285402219
X20120612,G06,DS5,2.01,37,Erlotinib,14,DS5_X20120612_Erlotinib_G06,5.209453366,DS5_Erlotinib,0.209453366
X20120612,G06,DS5,3.015,38,Erlotinib,13,DS5_X20120612_Erlotinib_G06,5.247927513,DS5_Erlotinib,0.247927513
X20120612,G06,DS5,4.02,43,Erlotinib,10,DS5_X20120612_Erlotinib_G06,5.426264755,DS5_Erlotinib,0.426264755
X20120612,G06,DS5,5.024999999,43,Erlotinib,15,DS5_X20120612_Erlotinib_G06,5.426264755,DS5_Erlotinib,0.426264755
X20120612,G06,DS5,6.029999999,42,Erlotinib,15,DS5_X20120612_Erlotinib_G06,5.392317423,DS5_Erlotinib,0.392317423
X20120612,G06,DS5,7.034999999,46,Erlotinib,12,DS5_X20120612_Erlotinib_G06,5.523561956,DS5_Erlotinib,0.523561956
X20120612,G06,DS5,8.039999999,50,Erlotinib,13,DS5_X20120612_Erlotinib_G06,5.64385619,DS5_Erlotinib,0.64385619
X20120612,G06,DS5,9.044999999,49,Erlotinib,16,DS5_X20120612_Erlotinib_G06,5.614709844,DS5_Erlotinib,0.614709844
X20120612,G06,DS5,10.05,49,Erlotinib,13,DS5_X20120612_Erlotinib_G06,5.614709844,DS5_Erlotinib,0.614709844
X20120612,G06,DS5,11.055,51,Erlotinib,13,DS5_X20120612_Erlotinib_G06,5.672425342,DS5_Erlotinib,0.672425342
X20120612,G06,DS5,12.06,58,Erlotinib,14,DS5_X20120612_Erlotinib_G06,5.857980995,DS5_Erlotinib,0.857980995
X20120612,G06,DS5,13.065,64,Erlotinib,12,DS5_X20120612_Erlotinib_G06,6,DS5_Erlotinib,1
