"Column","Row","Cell.count","Time","Well","nl2","date","cellLine","drug","conc","Seeding.density"
2,"B",1172,0,"B02",0,"20141009","SKMEL5","PLX",0,10000
2,"B",1444,7.5144,"B02",0.301098172464922,"20141009","SKMEL5","PLX",0,10000
2,"B",1893,22.1128,"B02",0.691701841281457,"20141009","SKMEL5","PLX",0,10000
2,"B",1987,26.8775,"B02",0.761619302827421,"20141009","SKMEL5","PLX",0,10000
2,"B",2226,30.9675,"B02",0.925481022919712,"20141009","SKMEL5","PLX",0,10000
2,"B",3177,45.9317,"B02",1.43869252029124,"20141009","SKMEL5","PLX",0,10000
2,"B",3480,51.8425,"B02",1.57011473631384,"20141009","SKMEL5","PLX",0,10000
2,"B",5653,76.1086,"B02",2.27004412723317,"20141009","SKMEL5","PLX",0,10000
2,"B",6728,82.8944,"B02",2.5212051358329,"20141009","SKMEL5","PLX",0,10000
2,"B",8420,94.8019,"B02",2.84484766353151,"20141009","SKMEL5","PLX",0,10000
2,"B",10455,104.9081,"B02",3.15714858705469,"20141009","SKMEL5","PLX",0,10000
2,"B",14628,121.6367,"B02",3.64168805691912,"20141009","SKMEL5","PLX",0,10000
2,"B",21042,142.8775,"B02",4.16622736155172,"20141009","SKMEL5","PLX",0,10000
2,"B",22619,149.7772,"B02",4.27049067342347,"20141009","SKMEL5","PLX",0,10000
3,"B",1304,0,"B03",0,"20141009","SKMEL5","PLX",0,10000
3,"B",1521,7.5144,"B03",0.22207628349342,"20141009","SKMEL5","PLX",0,10000
3,"B",2018,22.1128,"B03",0.629982304875281,"20141009","SKMEL5","PLX",0,10000
3,"B",2276,26.8775,"B03",0.803556688075505,"20141009","SKMEL5","PLX",0,10000
3,"B",2377,30.9675,"B03",0.866198033711358,"20141009","SKMEL5","PLX",0,10000
3,"B",3439,45.9317,"B03",1.39904524629571,"20141009","SKMEL5","PLX",0,10000
3,"B",3638,51.8425,"B03",1.48020167342041,"20141009","SKMEL5","PLX",0,10000
3,"B",6035,76.1086,"B03",2.21040990141131,"20141009","SKMEL5","PLX",0,10000
3,"B",7520,82.8944,"B03",2.52778879233392,"20141009","SKMEL5","PLX",0,10000
3,"B",9231,94.8019,"B03",2.82354307482362,"20141009","SKMEL5","PLX",0,10000
3,"B",11839,104.9081,"B03",3.18253145189597,"20141009","SKMEL5","PLX",0,10000
3,"B",15615,121.6367,"B03",3.58191679467686,"20141009","SKMEL5","PLX",0,10000
3,"B",21418,142.8775,"B03",4.03780799369806,"20141009","SKMEL5","PLX",0,10000
3,"B",24673,149.7772,"B03",4.24191736949249,"20141009","SKMEL5","PLX",0,10000
4,"B",1291,0,"B04",0,"20141009","SKMEL5","PLX",8,10000
4,"B",1465,7.5144,"B04",0.182411664002419,"20141009","SKMEL5","PLX",8,10000
4,"B",1859,22.1128,"B04",0.526037769612291,"20141009","SKMEL5","PLX",8,10000
4,"B",1849,26.8775,"B04",0.518256224097005,"20141009","SKMEL5","PLX",8,10000
4,"B",1802,30.9675,"B04",0.481110010506347,"20141009","SKMEL5","PLX",8,10000
4,"B",1577,45.9317,"B04",0.28869365948332,"20141009","SKMEL5","PLX",8,10000
4,"B",1414,51.8425,"B04",0.131293119502208,"20141009","SKMEL5","PLX",8,10000
4,"B",1194,76.1086,"B04",-0.112686164042385,"20141009","SKMEL5","PLX",8,10000
4,"B",1481,82.8944,"B04",0.198082639981656,"20141009","SKMEL5","PLX",8,10000
4,"B",1630,94.8019,"B04",0.33638296381125,"20141009","SKMEL5","PLX",8,10000
4,"B",1720,104.9081,"B04",0.413919564282269,"20141009","SKMEL5","PLX",8,10000
4,"B",1904,121.6367,"B04",0.560544478000752,"20141009","SKMEL5","PLX",8,10000
4,"B",2102,142.8775,"B04",0.703273668654987,"20141009","SKMEL5","PLX",8,10000
4,"B",2206,149.7772,"B04",0.772943790284192,"20141009","SKMEL5","PLX",8,10000
5,"B",1097,0,"B05",0,"20141009","SKMEL5","PLX",8,10000
