Treatment,Conc,nl2,sd,n,respRatio,cellNum.72
BIBW2992,0,2.789839952,0.228680121,12,1,6916
BIBW2992,1.20E-10,2.756216558,0.001578532,2,0.97686524,6756
BIBW2992,4.80E-10,2.736941568,0.151330785,2,0.96399653,6667
BIBW2992,1.95E-09,2.614260944,0.105520682,2,0.885338346,6123
BIBW2992,7.80E-09,2.331774262,0.070578794,2,0.727877386,5034
BIBW2992,3.13E-08,1.994414853,0.188241151,2,0.576200116,3985
BIBW2992,1.25E-07,1.910997511,0.044723936,2,0.543811452,3761
BIBW2992,5.00E-07,1.74481918,0.078474535,2,0.484673222,3352
BIBW2992,2.00E-06,1.667203666,0.150444773,2,0.459224986,3176
Erlotinib,0,2.789839952,0.228680121,12,1,6916
Erlotinib,1.20E-10,2.950608908,0.086478709,2,1.117842684,7731
Erlotinib,4.80E-10,2.907158571,0.152462516,2,1.084586466,7501
Erlotinib,1.95E-09,2.88677192,0.019452417,2,1.06940428,7396
Erlotinib,7.80E-09,2.963644377,0.181311194,2,1.127964141,7801
Erlotinib,3.13E-08,2.899729295,0.049879202,2,1.079091961,7463
Erlotinib,6.25E-08,2.495901227,0.058085485,2,0.815644881,5641
Erlotinib,1.25E-07,2.513683357,0.460678024,4,0.825766339,5711
Erlotinib,2.50E-07,2.278168928,0.118376032,2,0.701417004,4851
Erlotinib,5.00E-07,2.396735515,0.345347311,4,0.761422788,5266
Erlotinib,1.00E-06,1.773641033,0.265615477,2,0.494360902,3419
Erlotinib,2.00E-06,2.028027208,0.295084682,4,0.589647195,4078
Erlotinib,4.00E-06,1.502810974,0.148202776,2,0.409774436,2834
Erlotinib,8.00E-06,1.574955201,0.332059162,4,0.430740312,2979
Lapatinib,0,2.789839952,0.228680121,12,1,6916
Lapatinib,1.20E-10,2.876922203,0.043353037,2,1.062174667,7346
Lapatinib,4.80E-10,3.054724272,0.121165859,2,1.201417004,8309
Lapatinib,1.95E-09,3.032893946,0.010746946,2,1.183342973,8184
Lapatinib,7.80E-09,3.015730336,0.06480913,2,1.169462117,8088
Lapatinib,3.13E-08,2.903278731,0.047581876,2,1.081694621,7481
Lapatinib,6.25E-08,2.538678035,0.178407013,4,0.840225564,5811
Lapatinib,1.25E-07,2.492732162,0.226247822,6,0.813765182,5628
Lapatinib,2.50E-07,2.176493371,0.196328089,4,0.653701562,4521
Lapatinib,5.00E-07,2.190546772,0.326236949,6,0.660063621,4565
Lapatinib,1.00E-06,1.916989754,0.073471,4,0.545980335,3776
Lapatinib,2.00E-06,1.840682864,0.175196966,6,0.517929439,3582
Lapatinib,4.00E-06,1.443950625,0.147542964,4,0.393435512,2721
Lapatinib,8.00E-06,1.439732627,0.239568114,6,0.392278774,2713
