"Date","cellLine","well","rel.time","cell.count","Drug","Conc","Units","UID","nl2","norm.cell"
"3/14/15","A2058","B02",0,120,"control",0,"M","A2058_B02",0,100
"3/14/15","A2058","B02",18,216,"control",0,"M","A2058_B02",0.84799690655495,180
"3/14/15","A2058","B02",43,470,"control",0,"M","A2058_B02",1.96962635095648,392
"3/14/15","A2058","B02",50,611,"control",0,"M","A2058_B02",2.34813797421021,509
"3/14/15","A2058","B02",61,783,"control",0,"M","A2058_B02",2.70597790168252,652
"3/14/15","A2058","B02",67,1051,"control",0,"M","A2058_B02",3.13065635835366,876
"3/14/15","A2058","B02",85,1750,"control",0,"M","A2058_B02",3.86624861111117,1458
"3/14/15","A2058","B02",96,2272,"control",0,"M","A2058_B02",4.24285652389616,1893
"3/14/15","A2058","B02",115,4416,"control",0,"M","A2058_B02",5.20163386116965,3680
"3/14/15","A2058","B03",0,107,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",0,100
"3/14/15","A2058","B03",18,202,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",0.916744496350647,189
"3/14/15","A2058","B03",43,412,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",1.94503354078207,385
"3/14/15","A2058","B03",50,513,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",2.26134802920591,479
"3/14/15","A2058","B03",61,713,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",2.73629128004274,666
"3/14/15","A2058","B03",67,849,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",2.98815375715189,793
"3/14/15","A2058","B03",85,1520,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",3.8283886219298,1421
"3/14/15","A2058","B03",96,2139,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",4.3212537807639,1999
"3/14/15","A2058","B03",115,3636,"PLX4720 (nM)",1.25e-07,"M","A2058_B03",5.08666949779296,3398
"3/14/15","A2058","B04",0,147,"PLX4720 (nM)",2.5e-07,"M","A2058_B04",0,100
"3/14/15","A2058","B04",18,253,"PLX4720 (nM)",2.5e-07,"M","A2058_B04",0.783321229857946,172
"3/14/15","A2058","B04",43,556,"PLX4720 (nM)",2.5e-07,"M","A2058_B04",1.91926872788714,378
"3/14/15","A2058","B04",50,690,"PLX4720 (nM)",2.5e-07,"M","A2058_B04",2.23078020682917,469
"3/14/15","A2058","B04",61,995,"PLX4720 (nM)",2.5e-07,"M","A2058_B04",2.75888037059465,677
"3/14/15","A2058","B04",67,1286,"PLX4720 (nM)",2.5e-07,"M","A2058_B04",3.12900258249158,875
"3/14/15","A2058","B04",85,2176,"PLX4720 (nM)",2.5e-07,"M","A2058_B04",3.88779049641397,1480
"3/14/15","A2058","B04",96,3215,"PLX4720 (nM)",2.5e-07,"M","A2058_B04",4.45093067737894,2187
